From	To	Species	Gene Name
O75096	4038	Homo sapiens	LDL receptor related protein 4(LRP4)
Q8IXI2	55288	Homo sapiens	ras homolog family member T1(RHOT1)
P53621	1314	Homo sapiens	coatomer protein complex subunit alpha(COPA)
Q8NC60	84273	Homo sapiens	nitric oxide associated 1(NOA1)
P30711	2952	Homo sapiens	glutathione S-transferase theta 1(GSTT1)
Q6P3S6	54455	Homo sapiens	F-box protein 42(FBXO42)
Q6P3S1	163486	Homo sapiens	DENN domain containing 1B(DENND1B)
Q01433	271	Homo sapiens	adenosine monophosphate deaminase 2(AMPD2)
Q8IXH6	58476	Homo sapiens	tumor protein p53 inducible nuclear protein 2(TP53INP2)
Q8NBU5	84896	Homo sapiens	ATPase family, AAA domain containing 1(ATAD1)
P98077	25759	Homo sapiens	SHC adaptor protein 2(SHC2)
Q07075	2028	Homo sapiens	glutamyl aminopeptidase(ENPEP)
Q8NBS9	81567	Homo sapiens	thioredoxin domain containing 5(TXNDC5)
Q13464	6093	Homo sapiens	Rho associated coiled-coil containing protein kinase 1(ROCK1)
Q96SB8	79677	Homo sapiens	structural maintenance of chromosomes 6(SMC6)
Q6IAN0	25979	Homo sapiens	dehydrogenase/reductase 7B(DHRS7B)
Q9UGJ0	51422	Homo sapiens	protein kinase AMP-activated non-catalytic subunit gamma 2(PRKAG2)
Q6JQN1	80724	Homo sapiens	acyl-CoA dehydrogenase family member 10(ACAD10)
Q8N8Q9	81614	Homo sapiens	non imprinted in Prader-Willi/Angelman syndrome 2(NIPA2)
Q13454	7991	Homo sapiens	tumor suppressor candidate 3(TUSC3)
Q9NSD9	10056	Homo sapiens	phenylalanyl-tRNA synthetase beta subunit(FARSB)
Q8NBT3	284339	Homo sapiens	transmembrane protein 145(TMEM145)
Q9Y4B6	9730	Homo sapiens	DDB1 and CUL4 associated factor 1(DCAF1)
P51797	1185	Homo sapiens	chloride voltage-gated channel 6(CLCN6)
P40227	908	Homo sapiens	chaperonin containing TCP1 subunit 6A(CCT6A)
Q9BRX2	53918	Homo sapiens	pelota homolog (Drosophila)(PELO)
A8MWY0	222223	Homo sapiens	KIAA1324 like(KIAA1324L)
P51790	1182	Homo sapiens	chloride voltage-gated channel 3(CLCN3)
P13861	5576	Homo sapiens	protein kinase cAMP-dependent type II regulatory subunit alpha(PRKAR2A)
Q9UGI6	3782	Homo sapiens	potassium calcium-activated channel subfamily N member 3(KCNN3)
P40222	200081	Homo sapiens	taxilin alpha(TXLNA)
P40616	400	Homo sapiens	ADP ribosylation factor like GTPase 1(ARL1)
Q86T03	90809	Homo sapiens	transmembrane protein 55B(TMEM55B)
P53602	4597	Homo sapiens	mevalonate diphosphate decarboxylase(MVD)
O75083	9948	Homo sapiens	WD repeat domain 1(WDR1)
Q01415	2585	Homo sapiens	galactokinase 2(GALK2)
P98073	5651	Homo sapiens	transmembrane protease, serine 15(TMPRSS15)
Q9H4L7	56916	Homo sapiens	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1(SMARCAD1)
P55072	7415	Homo sapiens	valosin containing protein(VCP)
Q9BW85	55702	Homo sapiens	coiled-coil domain containing 94(CCDC94)
Q5VZE5	60560	Homo sapiens	N(alpha)-acetyltransferase 35, NatC auxiliary subunit(NAA35)
P51788	1181	Homo sapiens	chloride voltage-gated channel 2(CLCN2)
Q3MIS6	84436	Homo sapiens	zinc finger protein 528(ZNF528)
Q8N4B1	144717	Homo sapiens	family with sequence similarity 109 member A(FAM109A)
P35590	7075	Homo sapiens	tyrosine kinase with immunoglobulin like and EGF like domains 1(TIE1)
Q13330	9112	Homo sapiens	metastasis associated 1(MTA1)
Q99447	5833	Homo sapiens	phosphate cytidylyltransferase 2, ethanolamine(PCYT2)
Q16720	492	Homo sapiens	ATPase plasma membrane Ca2+ transporting 3(ATP2B3)
Q9BW91	53343	Homo sapiens	nudix hydrolase 9(NUDT9)
Q13432	9094	Homo sapiens	unc-119 lipid binding chaperone(UNC119)
Q13324	1395	Homo sapiens	corticotropin releasing hormone receptor 2(CRHR2)
P55084	3032	Homo sapiens	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit(HADHB)
P53618	1315	Homo sapiens	coatomer protein complex subunit beta 1(COPB1)
Q76L83	55252	Homo sapiens	additional sex combs like 2, transcriptional regulator(ASXL2)
Q9UIC8	51451	Homo sapiens	leucine carboxyl methyltransferase 1(LCMT1)
O15169	8312	Homo sapiens	axin 1(AXIN1)
Q9NNW7	10587	Homo sapiens	thioredoxin reductase 2(TXNRD2)
P41182	604	Homo sapiens	B-cell CLL/lymphoma 6(BCL6)
Q5FYB0	79642	Homo sapiens	arylsulfatase family member J(ARSJ)
P07686	3074	Homo sapiens	hexosaminidase subunit beta(HEXB)
P54687	586	Homo sapiens	branched chain amino acid transaminase 1(BCAT1)
Q68CJ9	84699	Homo sapiens	cAMP responsive element binding protein 3 like 3(CREB3L3)
O95835	9113	Homo sapiens	large tumor suppressor kinase 1(LATS1)
Q68CJ6	389643	Homo sapiens	nuclear GTPase, germinal center associated(NUGGC)
Q9Y4E8	9958	Homo sapiens	ubiquitin specific peptidase 15(USP15)
Q9UGP5	27343	Homo sapiens	DNA polymerase lambda(POLL)
Q13427	9360	Homo sapiens	peptidylprolyl isomerase G(PPIG)
Q07866	3831	Homo sapiens	kinesin light chain 1(KLC1)
Q13423	23530	Homo sapiens	nicotinamide nucleotide transhydrogenase(NNT)
P28799	2896	Homo sapiens	granulin precursor(GRN)
Q9UGN5	10038	Homo sapiens	poly(ADP-ribose) polymerase 2(PARP2)
Q494R4	283152	Homo sapiens	coiled-coil domain containing 153(CCDC153)
O75064	9909	Homo sapiens	DENN domain containing 4B(DENND4B)
Q5XUX1	84261	Homo sapiens	F-box and WD repeat domain containing 9(FBXW9)
O75071	9813	Homo sapiens	EF-hand calcium binding domain 14(EFCAB14)
O75072	2218	Homo sapiens	fukutin(FKTN)
Q13418	3611	Homo sapiens	integrin linked kinase(ILK)
P53675	8218	Homo sapiens	clathrin heavy chain like 1(CLTCL1)
Q9HAR2	23284	Homo sapiens	adhesion G protein-coupled receptor L3(ADGRL3)
A0PJE2	79758	Homo sapiens	dehydrogenase/reductase 12(DHRS12)
P53671	3985	Homo sapiens	LIM domain kinase 2(LIMK2)
O15162	5359	Homo sapiens	phospholipid scramblase 1(PLSCR1)
Q9H8M7	80013	Homo sapiens	family with sequence similarity 188 member A(FAM188A)
Q6UX73	146556	Homo sapiens	chromosome 16 open reading frame 89(C16orf89)
Q86SK9	79966	Homo sapiens	stearoyl-CoA desaturase 5(SCD5)
Q9UIA9	23039	Homo sapiens	exportin 7(XPO7)
Q9NVA2	55752	Homo sapiens	septin 11(SEPT11)
Q9H920	55298	Homo sapiens	ring finger protein 121(RNF121)
Q8IXB1	54431	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C10(DNAJC10)
Q9Y4C4	9258	Homo sapiens	malignant fibrous histiocytoma amplified sequence 1(MFHAS1)
P42285	23517	Homo sapiens	Ski2 like RNA helicase 2(SKIV2L2)
Q9H4P4	10193	Homo sapiens	ring finger protein 41(RNF41)
Q01459	1486	Homo sapiens	chitobiase(CTBS)
P46379	7917	Homo sapiens	BCL2 associated athanogene 6(BAG6)
Q96DZ1	27248	Homo sapiens	endoplasmic reticulum lectin 1(ERLEC1)
Q13402	4647	Homo sapiens	myosin VIIA(MYO7A)
Q13404	7335	Homo sapiens	ubiquitin conjugating enzyme E2 V1(UBE2V1)
O15197	2051	Homo sapiens	EPH receptor B6(EPHB6)
Q6NXT6	202018	Homo sapiens	transmembrane anterior posterior transformation 1(TAPT1)
P26640	7407	Homo sapiens	valyl-tRNA synthetase(VARS)
P26641	1937	Homo sapiens	eukaryotic translation elongation factor 1 gamma(EEF1G)
Q9HB19	59339	Homo sapiens	pleckstrin homology domain containing A2(PLEKHA2)
Q8NBR6	54629	Homo sapiens	family with sequence similarity 63 member B(FAM63B)
P18075	655	Homo sapiens	bone morphogenetic protein 7(BMP7)
O95861	10380	Homo sapiens	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)
Q9Y4D2	747	Homo sapiens	diacylglycerol lipase alpha(DAGLA)
P12081	3035	Homo sapiens	histidyl-tRNA synthetase(HARS)
Q9Y4D1	23002	Homo sapiens	dishevelled associated activator of morphogenesis 1(DAAM1)
Q9UGM1	55584	Homo sapiens	cholinergic receptor nicotinic alpha 9 subunit(CHRNA9)
P48556	5714	Homo sapiens	proteasome 26S subunit, non-ATPase 8(PSMD8)
Q9HAU5	26019	Homo sapiens	UPF2 regulator of nonsense transcripts homolog (yeast)(UPF2)
Q14997	23198	Homo sapiens	proteasome activator subunit 4(PSME4)
Q9C0J8	55339	Homo sapiens	WD repeat domain 33(WDR33)
Q96A49	94056	Homo sapiens	synapse associated protein 1(SYAP1)
P42262	2891	Homo sapiens	glutamate ionotropic receptor AMPA type subunit 2(GRIA2)
Q9NZB8	4337	Homo sapiens	molybdenum cofactor synthesis 1(MOCS1)
O75618	9191	Homo sapiens	death effector domain containing(DEDD)
Q9Y4I1	4644	Homo sapiens	myosin VA(MYO5A)
P61457	5092	Homo sapiens	pterin-4 alpha-carbinolamine dehydratase 1(PCBD1)
Q9HAV4	57510	Homo sapiens	exportin 5(XPO5)
Q6PD62	9646	Homo sapiens	CTR9 homolog, Paf1/RNA polymerase II complex component(CTR9)
Q9BRR6	83440	Homo sapiens	ADP dependent glucokinase(ADPGK)
P50281	4323	Homo sapiens	matrix metallopeptidase 14(MMP14)
Q86SE5	138046	Homo sapiens	RALY RNA binding protein-like(RALYL)
Q8IY22	80790	Homo sapiens	c-Maf inducing protein(CMIP)
Q9BRR8	55094	Homo sapiens	G-patch domain containing 1(GPATCH1)
O15126	9522	Homo sapiens	secretory carrier membrane protein 1(SCAMP1)
P36508	7629	Homo sapiens	zinc finger protein 76(ZNF76)
P47985	7386	Homo sapiens	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1(UQCRFS1)
Q99829	8904	Homo sapiens	copine 1(CPNE1)
Q9NUQ6	26010	Homo sapiens	spermatogenesis associated serine rich 2 like(SPATS2L)
Q9NUQ9	51571	Homo sapiens	family with sequence similarity 49 member B(FAM49B)
Q9NUQ8	55324	Homo sapiens	ATP binding cassette subfamily F member 3(ABCF3)
Q96NI8	148268	Homo sapiens	zinc finger protein 570(ZNF570)
Q9Y4J8	1837	Homo sapiens	dystrobrevin alpha(DTNA)
Q93008	8239	Homo sapiens	ubiquitin specific peptidase 9, X-linked(USP9X)
Q93009	7874	Homo sapiens	ubiquitin specific peptidase 7(USP7)
Q9NZC9	50485	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1(SMARCAL1)
Q9P0W5	29970	Homo sapiens	schwannomin interacting protein 1(SCHIP1)
A3KN83	55206	Homo sapiens	strawberry notch homolog 1(SBNO1)
P17707	262	Homo sapiens	adenosylmethionine decarboxylase 1(AMD1)
O43324	9521	Homo sapiens	eukaryotic translation elongation factor 1 epsilon 1(EEF1E1)
Q53H47	6419	Homo sapiens	SET domain and mariner transposase fusion gene(SETMAR)
Q3MII6	4943	Homo sapiens	TBC1 domain family member 25(TBC1D25)
Q9H4B6	60485	Homo sapiens	salvador family WW domain containing protein 1(SAV1)
Q9BS26	23071	Homo sapiens	endoplasmic reticulum protein 44(ERP44)
Q9NZD2	51228	Homo sapiens	glycolipid transfer protein(GLTP)
Q96A65	60412	Homo sapiens	exocyst complex component 4(EXOC4)
Q14974	3837	Homo sapiens	karyopherin subunit beta 1(KPNB1)
Q9C0H5	80728	Homo sapiens	Rho GTPase activating protein 39(ARHGAP39)
Q96IV0	55768	Homo sapiens	N-glycanase 1(NGLY1)
P61026	10890	Homo sapiens	RAB10, member RAS oncogene family(RAB10)
P11387	7150	Homo sapiens	topoisomerase (DNA) I(TOP1)
Q9Y4G8	9693	Homo sapiens	Rap guanine nucleotide exchange factor 2(RAPGEF2)
Q9NZD8	51324	Homo sapiens	spastic paraplegia 21 (autosomal recessive, Mast syndrome)(SPG21)
Q96IV6	10826	Homo sapiens	fatty acid hydroxylase domain containing 2(FAXDC2)
Q9H074	10605	Homo sapiens	poly(A) binding protein interacting protein 1(PAIP1)
Q9UPT5	23265	Homo sapiens	exocyst complex component 7(EXOC7)
Q99832	10574	Homo sapiens	chaperonin containing TCP1 subunit 7(CCT7)
Q96NW4	84079	Homo sapiens	ankyrin repeat domain 27(ANKRD27)
Q8WW33	121355	Homo sapiens	gametocyte specific factor 1(GTSF1)
Q7Z6M4	130916	Homo sapiens	mitochondrial transcription termination factor 4(MTERF4)
Q9H078	81570	Homo sapiens	ClpB homolog, mitochondrial AAA ATPase chaperonin(CLPB)
Q8NBN3	25963	Homo sapiens	transmembrane protein 87A(TMEM87A)
P48147	5550	Homo sapiens	prolyl endopeptidase(PREP)
Q6DKI2	654346	Homo sapiens	galectin 9C(LGALS9C)
Q16795	4704	Homo sapiens	NADH:ubiquinone oxidoreductase subunit A9(NDUFA9)
Q7Z6M1	10244	Homo sapiens	Rab9 effector protein with kelch motifs(RABEPK)
Q9HAT2	54414	Homo sapiens	sialic acid acetylesterase(SIAE)
Q9HBF4	53349	Homo sapiens	zinc finger FYVE-type containing 1(ZFYVE1)
Q96RV3	22990	Homo sapiens	pecanex homolog 1 (Drosophila)(PCNX1)
Q16798	10873	Homo sapiens	malic enzyme 3(ME3)
Q9BRN9	80213	Homo sapiens	TM2 domain containing 3(TM2D3)
O15144	10109	Homo sapiens	actin related protein 2/3 complex subunit 2(ARPC2)
Q92615	23185	Homo sapiens	La ribonucleoprotein domain family member 4B(LARP4B)
Q8N8K9	158405	Homo sapiens	KIAA1958(KIAA1958)
Q9HAT8	57161	Homo sapiens	pellino E3 ubiquitin protein ligase family member 2(PELI2)
Q96S79	91608	Homo sapiens	RAS like family 10 member B(RASL10B)
Q96IU4	84836	Homo sapiens	abhydrolase domain containing 14B(ABHD14B)
O75604	9099	Homo sapiens	ubiquitin specific peptidase 2(USP2)
Q6P3X3	55622	Homo sapiens	tetratricopeptide repeat domain 27(TTC27)
O95822	23417	Homo sapiens	malonyl-CoA decarboxylase(MLYCD)
Q9UPU7	23102	Homo sapiens	TBC1 domain family member 2B(TBC1D2B)
O75600	23464	Homo sapiens	glycine C-acetyltransferase(GCAT)
Q9UI40	25769	Homo sapiens	solute carrier family 24 member 2(SLC24A2)
Q9H089	55341	Homo sapiens	large 60S subunit nuclear export GTPase 1(LSG1)
P61421	9114	Homo sapiens	ATPase H+ transporting V0 subunit d1(ATP6V0D1)
Q9H8T0	64400	Homo sapiens	AKT interacting protein(AKTIP)
O75608	10434	Homo sapiens	lysophospholipase I(LYPLA1)
O95825	9946	Homo sapiens	crystallin zeta like 1(CRYZL1)
Q92614	399687	Homo sapiens	myosin XVIIIA(MYO18A)
Q92613	9767	Homo sapiens	jade family PHD finger 3(JADE3)
Q92611	9695	Homo sapiens	ER degradation enhancing alpha-mannosidase like protein 1(EDEM1)
P48553	7109	Homo sapiens	trafficking protein particle complex 10(TRAPPC10)
Q5SSJ5	50809	Homo sapiens	heterochromatin protein 1 binding protein 3(HP1BP3)
Q7Z6L1	25851	Homo sapiens	tectonin beta-propeller repeat containing 1(TECPR1)
O43301	259217	Homo sapiens	heat shock protein family A (Hsp70) member 12A(HSPA12A)
Q8IXL7	253827	Homo sapiens	methionine sulfoxide reductase B3(MSRB3)
Q99460	5707	Homo sapiens	proteasome 26S subunit, non-ATPase 1(PSMD1)
Q96RU3	23048	Homo sapiens	formin binding protein 1(FNBP1)
Q93034	8065	Homo sapiens	cullin 5(CUL5)
Q6P3W7	55681	Homo sapiens	SCY1 like pseudokinase 2(SCYL2)
Q5SWH9	51249	Homo sapiens	transmembrane protein 69(TMEM69)
Q9NV70	55763	Homo sapiens	exocyst complex component 1(EXOC1)
Q92625	23294	Homo sapiens	ankyrin repeat and sterile alpha motif domain containing 1A(ANKS1A)
Q6DKK2	54902	Homo sapiens	tetratricopeptide repeat domain 19(TTC19)
Q7Z6K5	348110	Homo sapiens	actin-related protein 2/3 complex inhibitor(ARPIN)
Q9UQ80	5036	Homo sapiens	proliferation-associated 2G4(PA2G4)
P13804	2108	Homo sapiens	electron transfer flavoprotein alpha subunit(ETFA)
Q8NBH2	339855	Homo sapiens	kyphoscoliosis peptidase(KY)
P36543	529	Homo sapiens	ATPase H+ transporting V1 subunit E1(ATP6V1E1)
P13807	2997	Homo sapiens	glycogen synthase 1(GYS1)
P36544	1139	Homo sapiens	cholinergic receptor nicotinic alpha 7 subunit(CHRNA7)
Q4V328	56850	Homo sapiens	GRIP1 associated protein 1(GRIPAP1)
O00625	8544	Homo sapiens	pirin(PIR)
P61011	6729	Homo sapiens	signal recognition particle 54(SRP54)
Q9UPW5	23287	Homo sapiens	ATP/GTP binding protein 1(AGTPBP1)
Q12765	9805	Homo sapiens	secernin 1(SCRN1)
P39748	2237	Homo sapiens	flap structure-specific endonuclease 1(FEN1)
Q9NUU7	55308	Homo sapiens	DEAD-box helicase 19A(DDX19A)
P61019	5862	Homo sapiens	RAB2A, member RAS oncogene family(RAB2A)
Q12767	9772	Homo sapiens	transmembrane protein 94(TMEM94)
P38646	3313	Homo sapiens	heat shock protein family A (Hsp70) member 9(HSPA9)
P41732	7102	Homo sapiens	tetraspanin 7(TSPAN7)
Q96S52	94005	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class S(PIGS)
Q7Z2K6	79956	Homo sapiens	endoplasmic reticulum metallopeptidase 1(ERMP1)
P09972	230	Homo sapiens	aldolase, fructose-bisphosphate C(ALDOC)
Q9P0S9	51522	Homo sapiens	transmembrane protein 14C(TMEM14C)
Q9NV64	55254	Homo sapiens	transmembrane protein 39A(TMEM39A)
Q9UHY1	29959	Homo sapiens	nuclear receptor binding protein 1(NRBP1)
Q92636	8439	Homo sapiens	neutral sphingomyelinase activation associated factor(NSMAF)
P42694	9931	Homo sapiens	helicase with zinc finger(HELZ)
Q8WVM7	10274	Homo sapiens	stromal antigen 1(STAG1)
Q12770	22937	Homo sapiens	SREBF chaperone(SCAP)
Q9H977	84058	Homo sapiens	WD repeat domain 54(WDR54)
Q8NFY4	80031	Homo sapiens	semaphorin 6D(SEMA6D)
Q9H974	79691	Homo sapiens	queuine tRNA-ribosyltransferase accessory subunit 2(QTRT2)
P28331	4719	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S1(NDUFS1)
Q7Z6J6	84978	Homo sapiens	FERM domain containing 5(FRMD5)
Q9UQ90	6687	Homo sapiens	SPG7, paraplegin matrix AAA peptidase subunit(SPG7)
Q7Z6J2	160622	Homo sapiens	general receptor for phosphoinositides 1 associated scaffold protein(GRASP)
Q9UHY8	9637	Homo sapiens	fasciculation and elongation protein zeta 2(FEZ2)
Q96IR7	84842	Homo sapiens	4-hydroxyphenylpyruvate dioxygenase like(HPDL)
Q6L8Q7	201626	Homo sapiens	phosphodiesterase 12(PDE12)
Q8IXJ6	22933	Homo sapiens	sirtuin 2(SIRT2)
Q68CP9	196528	Homo sapiens	AT-rich interaction domain 2(ARID2)
Q68CP4	138050	Homo sapiens	heparan-alpha-glucosaminide N-acetyltransferase(HGSNAT)
Q96RS0	96764	Homo sapiens	trimethylguanosine synthase 1(TGS1)
Q96RS6	84955	Homo sapiens	NudC domain containing 1(NUDCD1)
Q13356	23759	Homo sapiens	peptidylprolyl isomerase like 2(PPIL2)
P09958	5045	Homo sapiens	furin, paired basic amino acid cleaving enzyme(FURIN)
Q93050	535	Homo sapiens	ATPase H+ transporting V0 subunit a1(ATP6V0A1)
P62158	801	Homo sapiens	calmodulin 1(CALM1)
Q53H12	55750	Homo sapiens	acylglycerol kinase(AGK)
Q13492	8301	Homo sapiens	phosphatidylinositol binding clathrin assembly protein(PICALM)
Q8NFZ3	22829	Homo sapiens	neuroligin 4, Y-linked(NLGN4Y)
Q6DWJ6	124274	Homo sapiens	G protein-coupled receptor 139(GPR139)
Q9UHX1	22827	Homo sapiens	poly(U) binding splicing factor 60(PUF60)
Q4V348	401509	Homo sapiens	zinc finger protein 658B (pseudogene)(ZNF658B)
Q96NB3	91603	Homo sapiens	zinc finger protein 830(ZNF830)
Q13873	659	Homo sapiens	bone morphogenetic protein receptor type 2(BMPR2)
Q96NR8	145226	Homo sapiens	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)
Q9UPY3	23405	Homo sapiens	dicer 1, ribonuclease III(DICER1)
Q9H8Y5	55139	Homo sapiens	ankyrin repeat and zinc finger domain containing 1(ANKZF1)
Q8NBJ4	51280	Homo sapiens	golgi membrane protein 1(GOLM1)
Q9H8Y8	26003	Homo sapiens	golgi reassembly stacking protein 2(GORASP2)
Q3LIE5	56985	Homo sapiens	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent(ADPRM)
P62166	23413	Homo sapiens	neuronal calcium sensor 1(NCS1)
Q96S38	26750	Homo sapiens	ribosomal protein S6 kinase C1(RPS6KC1)
Q9H4I3	80305	Homo sapiens	TraB domain containing(TRABD)
Q5T4F4	118813	Homo sapiens	zinc finger FYVE-type containing 27(ZFYVE27)
Q9NUW8	55775	Homo sapiens	tyrosyl-DNA phosphodiesterase 1(TDP1)
P34897	6472	Homo sapiens	serine hydroxymethyltransferase 2(SHMT2)
P13010	7520	Homo sapiens	X-ray repair cross complementing 5(XRCC5)
Q8WW01	116461	Homo sapiens	tRNA splicing endonuclease subunit 15(TSEN15)
Q13367	8120	Homo sapiens	adaptor related protein complex 3 beta 2 subunit(AP3B2)
Q5JS13	9649	Homo sapiens	Ral GEF with PH domain and SH3 binding motif 1(RALGPS1)
Q96EB1	26610	Homo sapiens	elongator acetyltransferase complex subunit 4(ELP4)
A7KAX9	9743	Homo sapiens	Rho GTPase activating protein 32(ARHGAP32)
Q13368	4356	Homo sapiens	membrane palmitoylated protein 3(MPP3)
Q9H999	79646	Homo sapiens	pantothenate kinase 3(PANK3)
Q13485	4089	Homo sapiens	SMAD family member 4(SMAD4)
Q6IN85	55671	Homo sapiens	protein phosphatase 4 regulatory subunit 3A(PPP4R3A)
Q9BRS2	83732	Homo sapiens	RIO kinase 1(RIOK1)
Q9Y4L5	27246	Homo sapiens	ring finger protein 115(RNF115)
P21397	4128	Homo sapiens	monoamine oxidase A(MAOA)
