From	To	Species	Gene Name
P27540	405	Homo sapiens	aryl hydrocarbon receptor nuclear translocator(ARNT)
Q9Y6I4	9960	Homo sapiens	ubiquitin specific peptidase 3(USP3)
O75962	7204	Homo sapiens	trio Rho guanine nucleotide exchange factor(TRIO)
Q9Y5E6	56132	Homo sapiens	protocadherin beta 3(PCDHB3)
Q9NP81	54938	Homo sapiens	seryl-tRNA synthetase 2, mitochondrial(SARS2)
P27816	4134	Homo sapiens	microtubule associated protein 4(MAP4)
Q9Y5E8	56121	Homo sapiens	protocadherin beta 15(PCDHB15)
Q8N6H7	84364	Homo sapiens	ADP ribosylation factor GTPase activating protein 2(ARFGAP2)
Q9NTJ3	10051	Homo sapiens	structural maintenance of chromosomes 4(SMC4)
Q9C040	23321	Homo sapiens	tripartite motif containing 2(TRIM2)
Q6NW29	201965	Homo sapiens	RWD domain containing 4(RWDD4)
Q9BYB0	85358	Homo sapiens	SH3 and multiple ankyrin repeat domains 3(SHANK3)
P61599	51126	Homo sapiens	N(alpha)-acetyltransferase 20, NatB catalytic subunit(NAA20)
Q96Q15	23049	Homo sapiens	SMG1, nonsense mediated mRNA decay associated PI3K related kinase(SMG1)
Q8WUH2	9392	Homo sapiens	transforming growth factor beta receptor associated protein 1(TGFBRAP1)
Q9P2D0	25998	Homo sapiens	inhibitor of Bruton tyrosine kinase(IBTK)
Q07075	2028	Homo sapiens	glutamyl aminopeptidase(ENPEP)
Q8TB40	63874	Homo sapiens	abhydrolase domain containing 4(ABHD4)
Q8IUH5	23390	Homo sapiens	zinc finger DHHC-type containing 17(ZDHHC17)
Q16082	3316	Homo sapiens	heat shock protein family B (small) member 2(HSPB2)
Q9Y5F7	56098	Homo sapiens	protocadherin gamma subfamily C, 4(PCDHGC4)
O15228	8443	Homo sapiens	glyceronephosphate O-acyltransferase(GNPAT)
P22570	2232	Homo sapiens	ferredoxin reductase(FDXR)
Q6JQN1	80724	Homo sapiens	acyl-CoA dehydrogenase family member 10(ACAD10)
Q9P2E3	57169	Homo sapiens	zinc finger NFX1-type containing 1(ZNFX1)
P21579	6857	Homo sapiens	synaptotagmin 1(SYT1)
O75569	8575	Homo sapiens	protein activator of interferon induced protein kinase EIF2AK2(PRKRA)
Q9Y6J0	23523	Homo sapiens	calcineurin binding protein 1(CABIN1)
Q8NAT1	84892	Homo sapiens	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)(POMGNT2)
Q8NBT3	284339	Homo sapiens	transmembrane protein 145(TMEM145)
Q9BRY0	29985	Homo sapiens	solute carrier family 39 member 3(SLC39A3)
A6NHR9	23347	Homo sapiens	structural maintenance of chromosomes flexible hinge domain containing 1(SMCHD1)
Q6PJG9	78999	Homo sapiens	leucine rich repeat and fibronectin type III domain containing 4(LRFN4)
Q1RMZ1	154743	Homo sapiens	base methyltransferase of 25S rRNA 2 homolog(BMT2)
Q9Y5G9	56111	Homo sapiens	protocadherin gamma subfamily A, 4(PCDHGA4)
Q9UGI6	3782	Homo sapiens	potassium calcium-activated channel subfamily N member 3(KCNN3)
Q9NQH7	63929	Homo sapiens	X-prolyl aminopeptidase 3(XPNPEP3)
Q96B36	84335	Homo sapiens	AKT1 substrate 1(AKT1S1)
O15091	9692	Homo sapiens	KIAA0391(KIAA0391)
Q9H4L7	56916	Homo sapiens	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1(SMARCAD1)
O75385	8408	Homo sapiens	unc-51 like autophagy activating kinase 1(ULK1)
P37235	3241	Homo sapiens	hippocalcin like 1(HPCAL1)
Q13231	1118	Homo sapiens	chitinase 1(CHIT1)
Q8NHV5	730094	Homo sapiens	chromosome 16 open reading frame 52(C16orf52)
Q92503	6397	Homo sapiens	SEC14 like lipid binding 1(SEC14L1)
Q96Q07	114781	Homo sapiens	BTB domain containing 9(BTBD9)
O75879	5188	Homo sapiens	glutamyl-tRNA amidotransferase subunit B(GATB)
Q8WXK4	142689	Homo sapiens	ankyrin repeat and SOCS box containing 12(ASB12)
Q8IVF7	91010	Homo sapiens	formin like 3(FMNL3)
Q9Y5H2	56105	Homo sapiens	protocadherin gamma subfamily A, 11(PCDHGA11)
Q9Y5H3	56106	Homo sapiens	protocadherin gamma subfamily A, 10(PCDHGA10)
Q8NCQ5	201456	Homo sapiens	F-box protein 15(FBXO15)
Q6AI08	63897	Homo sapiens	HEAT repeat containing 6(HEATR6)
Q9NRG4	56950	Homo sapiens	SET and MYND domain containing 2(SMYD2)
P01031	727	Homo sapiens	complement C5(C5)
O75312	8882	Homo sapiens	ZPR1 zinc finger(ZPR1)
O75311	8001	Homo sapiens	glycine receptor alpha 3(GLRA3)
O15357	3636	Homo sapiens	inositol polyphosphate phosphatase like 1(INPPL1)
Q01484	287	Homo sapiens	ankyrin 2(ANK2)
O15075	9201	Homo sapiens	doublecortin like kinase 1(DCLK1)
O75592	23077	Homo sapiens	MYC binding protein 2, E3 ubiquitin protein ligase(MYCBP2)
P43897	10102	Homo sapiens	Ts translation elongation factor, mitochondrial(TSFM)
Q9HCC9	57732	Homo sapiens	zinc finger FYVE-type containing 28(ZFYVE28)
Q8N9N5	54971	Homo sapiens	BTG3 associated nuclear protein(BANP)
Q5SY16	79707	Homo sapiens	nucleolar protein 9(NOL9)
Q96K80	84872	Homo sapiens	zinc finger CCCH-type containing 10(ZC3H10)
Q96AX9	142678	Homo sapiens	mindbomb E3 ubiquitin protein ligase 2(MIB2)
P19440	2678	Homo sapiens	gamma-glutamyltransferase 1(GGT1)
Q9H2G2	9748	Homo sapiens	STE20 like kinase(SLK)
Q8TC07	64786	Homo sapiens	TBC1 domain family member 15(TBC1D15)
O75995	54440	Homo sapiens	SAM and SH3 domain containing 3(SASH3)
P14735	3416	Homo sapiens	insulin degrading enzyme(IDE)
Q8IUD2	23085	Homo sapiens	ELKS/RAB6-interacting/CAST family member 1(ERC1)
Q9ULB1	9378	Homo sapiens	neurexin 1(NRXN1)
Q9NRE2	128553	Homo sapiens	teashirt zinc finger homeobox 2(TSHZ2)
O15066	9371	Homo sapiens	kinesin family member 3B(KIF3B)
Q7L1T6	51167	Homo sapiens	cytochrome b5 reductase 4(CYB5R4)
Q96PU5	23327	Homo sapiens	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase(NEDD4L)
O15068	23263	Homo sapiens	MCF.2 cell line derived transforming sequence like(MCF2L)
Q9HCD6	26115	Homo sapiens	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2(TANC2)
O75072	2218	Homo sapiens	fukutin(FKTN)
Q6U841	57282	Homo sapiens	solute carrier family 4 member 10(SLC4A10)
Q9HAR2	23284	Homo sapiens	adhesion G protein-coupled receptor L3(ADGRL3)
O15162	5359	Homo sapiens	phospholipid scramblase 1(PLSCR1)
