Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04120:Ubiquitin mediated proteolysis	18	3.1523642732049035	2.6892916473392584E-5	9320, 9354, 63893, 7322, 10075, 6477, 8450, 55284, 9690, 23327, 55236, 51366, 8945, 7337, 51433, 8924, 8925, 55958	175	70	2118	3.112163265306122	0.005471206862095013	0.005486154960572087	0.005486154960572087
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	33	5.779334500875657	9.830899970894953E-5	7204, 9743, 57221, 134957, 394, 22930, 23348, 57569, 6709, 23161, 201163, 23263, 84364, 9815, 8924, 5910, 8925, 9135, 8567, 9855, 10818, 80728, 57679, 2776, 120892, 84253, 6655, 9922, 375790, 10144, 84079, 10564, 5924	448	179	4977	2.048097067039106	0.18845754761675115	0.08991400474821928	0.08991400474821928
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	118	20.665499124343256	1.1699055820771692E-4	6477, 23167, 56098, 56132, 91010, 23327, 1612, 1457, 2028, 201163, 54510, 11188, 5536, 3636, 23210, 10818, 338567, 121665, 27253, 2678, 1983, 124930, 55576, 54769, 526, 5789, 2319, 8396, 26, 8394, 3416, 3818, 23263, 23385, 1636, 6262, 9378, 8567, 4641, 2977, 57534, 1128, 783, 4919, 6259, 55915, 85021, 1889, 4131, 47, 5066, 4771, 4651, 7248, 84918, 23002, 2195, 134957, 2194, 1139, 58513, 55761, 1138, 1136, 1499, 145567, 84364, 5335, 1938, 64072, 5218, 91608, 8727, 23499, 7094, 80036, 287, 56105, 288, 56106, 324, 57553, 120892, 196528, 9429, 57719, 78999, 375790, 84079, 5745, 22933, 5361, 64137, 29966, 57282, 28231, 56111, 610, 5359, 7812, 10397, 123879, 4163, 8001, 91584, 8642, 80208, 200734, 56121, 26503, 29979, 80727, 80333, 171586, 2776, 747, 6857, 5924	466	954	5148	1.366426431289983	0.04884180861011367	0.05007195891290284	0.04995496835469512
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	21	3.677758318739054	1.1949939882163287E-4	9960, 9354, 9101, 9810, 7322, 6477, 8533, 23014, 130507, 55230, 8450, 9099, 84749, 23358, 54472, 55236, 51366, 8945, 7337, 8239, 85015	448	91	4977	2.563701923076923	0.2241777852711615	0.08991400474821928	0.08991400474821928
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	22	3.852889667250438	1.270281541681651E-4	9135, 23637, 64786, 9743, 125058, 23158, 134957, 394, 22930, 80728, 27352, 57569, 23061, 2776, 120892, 84364, 9815, 84253, 9779, 10144, 84079, 5910	457	97	5001	2.4819418439396332	0.08100912711376451	0.04988218689193788	0.049807176084581586
UP_SEQ_FEATURE	active site:Glycyl thioester intermediate	12	2.1015761821366024	1.2906278935199064E-4	9320, 63893, 7322, 55236, 51366, 10075, 7337, 8924, 55284, 9690, 8925, 23327	489	34	5368	3.874413569108625	0.1926515461554068	0.08129499382521523	0.08065796252941787
UP_KEYWORDS	Membrane	210	36.77758318739055	1.3629156375662577E-4	94005, 5144, 8897, 9743, 23167, 56098, 590, 55681, 80762, 2548, 23161, 284339, 11188, 10893, 3636, 3092, 65258, 92293, 22883, 57633, 2678, 55210, 400745, 1464, 55576, 5824, 10787, 2319, 4074, 25, 10075, 3416, 85439, 55227, 23263, 23385, 5832, 6262, 8443, 8567, 4641, 2218, 57534, 1128, 23390, 23274, 55236, 6259, 55915, 51439, 5066, 5189, 4771, 4651, 7248, 23001, 84918, 55361, 394, 1139, 58513, 1138, 1136, 1499, 145567, 84364, 11022, 9779, 64072, 10184, 389432, 23499, 287, 56105, 288, 56106, 120892, 11276, 9429, 5745, 22933, 23347, 23348, 28231, 1954, 56111, 610, 54971, 10397, 8001, 91584, 56121, 26503, 200576, 81544, 80333, 55275, 2137, 195814, 23352, 54867, 55714, 747, 6857, 55717, 26958, 6198, 9101, 3241, 56132, 57221, 91010, 55284, 2820, 2028, 51366, 54510, 4326, 5536, 8925, 7175, 10818, 25998, 2040, 338567, 121665, 27253, 124930, 55852, 90701, 54769, 526, 5789, 9487, 284161, 8396, 158747, 6653, 8394, 80146, 55069, 5797, 83891, 10231, 80142, 91949, 1636, 9378, 9931, 4122, 8720, 25851, 130507, 2182, 80255, 783, 201232, 4919, 85021, 9927, 1889, 25829, 2195, 134957, 51280, 55761, 10452, 5218, 91608, 8727, 84749, 7094, 80036, 10902, 324, 78999, 57719, 375790, 84079, 9706, 8618, 5361, 23505, 64137, 29966, 9043, 51061, 57282, 23061, 9955, 5359, 123879, 5250, 4163, 8642, 27315, 9293, 200734, 29979, 80727, 57732, 171586, 2776, 26100, 2531, 54901, 84892, 10564, 5924, 23190	491	1894	5414	1.2225766005630387	0.046065334704573635	0.01698300400111709	0.016688501041560142
GOTERM_BP_DIRECT	GO:0007165~signal transduction	47	8.231173380035026	1.3870788039124635E-4	4074, 6198, 5144, 4651, 9743, 8533, 9567, 6653, 8394, 394, 80762, 1612, 1139, 57524, 57569, 1457, 1138, 54472, 1136, 55227, 29883, 5335, 5797, 8945, 3631, 8882, 9378, 4163, 9354, 9392, 80728, 22920, 2977, 23390, 287, 1128, 288, 10902, 54862, 55852, 23098, 55714, 6259, 375790, 10144, 9706, 5529	448	298	4977	1.7521497483221478	0.25519733329084393	0.08991400474821928	0.08991400474821928
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	37	6.47985989492119	1.5002161471259514E-4	5066, 26, 56098, 56132, 3241, 2195, 29904, 1954, 58513, 23061, 2820, 6709, 56111, 54510, 5335, 10893, 5359, 4326, 64072, 4745, 9378, 6262, 8642, 23499, 22883, 23158, 56121, 80333, 56105, 27253, 56106, 84455, 55576, 375790, 309, 6857, 85021	457	212	5001	1.909881920647372	0.0949561269406225	0.04988218689193788	0.049807176084581586
UP_KEYWORDS	Cell membrane	87	15.236427320490368	1.5180294053966534E-4	9101, 5144, 4771, 4651, 9743, 23167, 56098, 56132, 2195, 91010, 134957, 55361, 58513, 55761, 1139, 1138, 1499, 1136, 54510, 145567, 11188, 10893, 5536, 4326, 64072, 91608, 5218, 8727, 23499, 22883, 7094, 2040, 338567, 287, 56105, 27253, 288, 56106, 2678, 400745, 124930, 324, 1464, 55576, 9429, 54769, 57719, 375790, 84079, 5745, 2319, 10787, 22933, 5361, 8396, 8394, 57282, 28231, 3416, 56111, 610, 23263, 5359, 10397, 123879, 1636, 9378, 4163, 91584, 8001, 8642, 4641, 9293, 56121, 26503, 29979, 80727, 57534, 80333, 23390, 1128, 783, 201232, 747, 5924, 55915, 1889	491	657	5414	1.4601270354974007	0.05117206096435711	0.01698300400111709	0.016688501041560142
UP_KEYWORDS	Phosphoprotein	320	56.042031523642734	1.630090684890228E-4	22878, 5144, 8897, 6597, 7204, 9743, 6477, 8533, 23167, 23049, 590, 55681, 57182, 2548, 1457, 23040, 54472, 201163, 11188, 3631, 51400, 51646, 3636, 3092, 389072, 23178, 55210, 51773, 1464, 55576, 9748, 5824, 2319, 4074, 25, 4077, 8315, 10075, 149076, 57524, 85439, 23382, 55227, 57521, 23263, 27067, 7337, 142678, 55108, 31, 84461, 26093, 6262, 8443, 8567, 63893, 4089, 4641, 23158, 142, 79660, 57534, 1128, 84455, 55236, 6259, 51433, 1807, 55915, 10885, 51439, 8575, 6397, 47, 5066, 10051, 5189, 4771, 4651, 7248, 10174, 2232, 23001, 84918, 23002, 64759, 23005, 55361, 29904, 8450, 394, 58513, 6709, 1136, 1499, 145567, 84364, 11022, 1939, 9779, 1938, 10061, 254065, 29117, 23499, 79443, 287, 10623, 288, 57679, 29110, 1025, 57553, 120892, 23131, 11276, 602, 5745, 27291, 9201, 22933, 9320, 9441, 65981, 4673, 9567, 7027, 23347, 23348, 22930, 28231, 1954, 57569, 610, 54971, 26057, 10274, 56916, 22809, 7812, 10397, 5636, 347733, 8001, 64421, 64786, 22828, 80208, 23358, 26503, 200576, 80333, 55275, 2137, 10847, 54862, 23230, 23352, 23473, 84253, 8239, 747, 6857, 55718, 55717, 5529, 26958, 6198, 9101, 8930, 64434, 26038, 23321, 56252, 60509, 57221, 84959, 91010, 23327, 1612, 2820, 26275, 51366, 8803, 636, 8924, 85015, 10376, 6624, 8925, 7175, 23210, 10818, 55170, 25998, 23215, 2040, 338567, 22920, 26043, 55854, 1983, 1982, 55852, 54769, 405, 6878, 10144, 8396, 6653, 8394, 80146, 2962, 5797, 83891, 10231, 55626, 10111, 80142, 1636, 9135, 9810, 9931, 22905, 8720, 25851, 130507, 2182, 10129, 27352, 80255, 2976, 783, 2975, 79269, 4919, 9922, 309, 85021, 9927, 1889, 4131, 128553, 9821, 25829, 26115, 221400, 22794, 2194, 134957, 23523, 51280, 1778, 10579, 56850, 84886, 5335, 9815, 8602, 7637, 5218, 8727, 4141, 92017, 7094, 54440, 151613, 323, 10902, 324, 23098, 1783, 196528, 78999, 57719, 375790, 84079, 10102, 9706, 8618, 3181, 23505, 25929, 29966, 28996, 9043, 3064, 51061, 57282, 23061, 55660, 57724, 5359, 6449, 5250, 23637, 4163, 7551, 23518, 9855, 8642, 200734, 146057, 80728, 79066, 29979, 80727, 57732, 5927, 23195, 26100, 23077, 23198, 389840, 54901, 5128, 10564, 5924, 23190, 5925	491	3108	5414	1.135287163800402	0.05484442475098583	0.01698300400111709	0.016688501041560142
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	14	2.4518388791593697	1.6932957579702314E-4	8642, 56098, 22883, 56132, 56121, 2195, 56105, 27253, 56106, 56111, 54510, 5797, 55714, 64072	448	47	4977	3.3091755319148937	0.3021048990121489	0.08991400474821928	0.08991400474821928
UP_SEQ_FEATURE	domain:Cadherin 1	12	2.1015761821366024	1.7304624878810863E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 22883, 56132, 56121, 2195, 64072	489	35	5368	3.7637160385626647	0.24943986742213287	0.08129499382521523	0.08065796252941787
UP_SEQ_FEATURE	domain:Cadherin 2	12	2.1015761821366024	1.7304624878810863E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 22883, 56132, 56121, 2195, 64072	489	35	5368	3.7637160385626647	0.24943986742213287	0.08129499382521523	0.08065796252941787
INTERPRO	IPR016024:Armadillo-type fold	36	6.304728546409807	1.8658915856898967E-4	26958, 9320, 7248, 10075, 64434, 23001, 23002, 23167, 57221, 55681, 23049, 3064, 91010, 23348, 1499, 79699, 57169, 57521, 10274, 5910, 727957, 23358, 22920, 10129, 1983, 324, 1982, 23098, 120892, 23198, 196528, 23352, 6878, 8239, 10564, 5529	481	207	5291	1.9130434782608696	0.17470811810148157	0.13058258369082024	0.13007497403604543
UP_KEYWORDS	Calcium	41	7.180385288966725	1.963353063712958E-4	26, 56098, 56132, 3241, 2195, 29904, 1954, 58513, 2820, 2028, 6709, 56111, 54510, 5335, 10893, 5359, 4326, 64072, 4745, 9378, 6262, 8642, 8720, 23499, 22883, 56121, 80727, 80333, 80036, 56105, 27253, 783, 56106, 84455, 747, 375790, 309, 6857, 5924, 85021, 8618	491	249	5414	1.8156045771681428	0.0656822410500072	0.01698300400111709	0.016688501041560142
UP_SEQ_FEATURE	repeat:ANK 3	18	3.1523642732049035	2.554672558026998E-4	9881, 26115, 25998, 57182, 57534, 1612, 57524, 23390, 287, 288, 26057, 602, 142689, 142678, 9815, 84079, 79705, 55608	489	74	5368	2.670203946277566	0.3453266190757749	0.08129499382521523	0.08065796252941787
INTERPRO	IPR002126:Cadherin	12	2.1015761821366024	2.9410455833324834E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 22883, 56132, 56121, 2195, 64072	481	37	5291	3.567567567567568	0.26116311194372954	0.13058258369082024	0.13007497403604543
UP_SEQ_FEATURE	repeat:ANK 9	9	1.5761821366024518	3.0843167360859936E-4	57534, 1612, 287, 288, 26057, 26115, 142678, 84079, 57182	489	21	5368	4.70464504820333	0.400379661918407	0.08129499382521523	0.08065796252941787
GOTERM_MF_DIRECT	GO:0045296~cadherin binding	7	1.2259194395796849	3.1881938005113523E-4	288, 1499, 324, 5797, 10893, 10397, 8727	457	12	5001	6.38347921225383	0.19107469170229863	0.0706716292446683	0.0705653561179846
UP_SEQ_FEATURE	repeat:ANK 4	16	2.8021015761821366	3.2148848489652634E-4	9881, 26115, 57182, 57534, 1612, 57524, 23390, 287, 288, 26057, 602, 142689, 142678, 84079, 79705, 55608	489	62	5368	2.832904545154694	0.4132248649943908	0.08129499382521523	0.08065796252941787
INTERPRO	IPR015919:Cadherin-like	12	2.1015761821366024	3.8070724108110857E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 22883, 56132, 56121, 2195, 64072	481	38	5291	3.473684210526316	0.3241758301924118	0.13058258369082024	0.13007497403604543
UP_SEQ_FEATURE	splice variant	268	46.93520140105078	6.083757653559728E-4	94005, 22878, 5144, 8897, 7204, 9743, 6477, 23167, 56098, 23049, 80762, 10659, 23040, 23161, 201163, 11188, 3631, 51400, 3636, 389072, 9079, 65258, 23178, 22883, 2678, 55210, 51773, 9748, 5824, 10787, 25, 26, 4077, 10075, 203238, 1118, 114294, 85439, 55227, 57521, 23263, 27067, 23385, 7337, 142678, 5832, 55108, 31, 84461, 6262, 8567, 4641, 55230, 9099, 23390, 84455, 23274, 55236, 6259, 51433, 8575, 5066, 10051, 4771, 10174, 2232, 23001, 84918, 23002, 64759, 23005, 8450, 394, 6709, 1136, 1499, 79699, 145567, 11022, 1939, 64072, 128387, 23014, 254065, 29117, 23499, 79443, 287, 56105, 56106, 57679, 1025, 57553, 120892, 23131, 11276, 9429, 58528, 27291, 9201, 22933, 9441, 65981, 23347, 23348, 22930, 28231, 146556, 1954, 57569, 56111, 54971, 26057, 56916, 7812, 51108, 219736, 8001, 91584, 64421, 64786, 80208, 727957, 26503, 9690, 81544, 80333, 55275, 10847, 54862, 23230, 195814, 23352, 84253, 8239, 55718, 6198, 8930, 56252, 60509, 91010, 55284, 23327, 1612, 10933, 2820, 26275, 54510, 51005, 8803, 636, 85015, 4326, 55608, 9354, 23210, 55170, 25998, 23215, 121665, 27253, 124930, 1982, 55852, 405, 6878, 5789, 10144, 79809, 284161, 8396, 158747, 23300, 8394, 79034, 79154, 80146, 55069, 79831, 8945, 10231, 55626, 10111, 80020, 1636, 9135, 9378, 9810, 4122, 22905, 7511, 25851, 56165, 130507, 2182, 2977, 27352, 80255, 2976, 783, 2975, 79269, 63929, 56965, 4919, 9922, 79705, 85021, 9927, 1889, 26115, 134957, 51280, 374900, 10579, 54676, 56850, 5335, 9815, 8602, 10452, 5218, 8727, 92017, 80036, 151613, 323, 10902, 324, 23098, 60684, 196528, 57719, 10102, 8618, 3181, 114804, 29966, 28996, 9043, 51061, 57282, 23061, 55660, 57724, 57169, 5910, 5250, 23637, 4163, 23518, 9855, 27315, 80724, 64943, 146057, 79066, 29979, 80727, 57732, 5927, 26100, 125488, 652991, 23077, 23198, 389840, 54901	489	2557	5368	1.1505558741271604	0.6354144222310367	0.08129499382521523	0.08065796252941787
UP_SEQ_FEATURE	domain:Cadherin 3	11	1.926444833625219	6.19874029171866E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 56132, 56121, 2195, 64072	489	34	5368	3.5515457716829064	0.642303282764828	0.08129499382521523	0.08065796252941787
UP_SEQ_FEATURE	domain:Cadherin 4	11	1.926444833625219	6.19874029171866E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 56132, 56121, 2195, 64072	489	34	5368	3.5515457716829064	0.642303282764828	0.08129499382521523	0.08065796252941787
UP_SEQ_FEATURE	domain:Cadherin 6	11	1.926444833625219	6.19874029171866E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 56132, 56121, 2195, 64072	489	34	5368	3.5515457716829064	0.642303282764828	0.08129499382521523	0.08065796252941787
UP_SEQ_FEATURE	domain:Cadherin 5	11	1.926444833625219	6.19874029171866E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 56132, 56121, 2195, 64072	489	34	5368	3.5515457716829064	0.642303282764828	0.08129499382521523	0.08065796252941787
UP_KEYWORDS	Autophagy	16	2.8021015761821366	6.295711822456358E-4	22933, 25, 9821, 10193, 23001, 25851, 29979, 54472, 57724, 26100, 23274, 120892, 55626, 9779, 9706, 9927	491	66	5414	2.6730852311300373	0.1957943252147626	0.043566325811398	0.042810840392703234
UP_SEQ_FEATURE	repeat:ANK 6	12	2.1015761821366024	6.304524273993556E-4	57534, 57524, 1612, 287, 288, 9881, 26057, 26115, 602, 142678, 84079, 57182	489	40	5368	3.2932515337423314	0.6485260797352508	0.08129499382521523	0.08065796252941787
INTERPRO	IPR000569:HECT	8	1.4010507880910683	6.341560592883946E-4	9320, 51366, 10075, 7337, 8924, 9690, 8925, 23327	481	18	5291	4.888888888888889	0.4793897411051843	0.141134856007066	0.14058622682919597
UP_SEQ_FEATURE	domain:HECT	8	1.4010507880910683	6.425313300747636E-4	9320, 51366, 10075, 7337, 8924, 9690, 8925, 23327	489	18	5368	4.87889116109975	0.655499363765518	0.08129499382521523	0.08065796252941787
UP_SEQ_FEATURE	repeat:ANK 5	14	2.4518388791593697	6.933578424881045E-4	9881, 26115, 57182, 57534, 1612, 57524, 23390, 287, 288, 26057, 602, 142689, 142678, 84079	489	53	5368	2.8997183315970214	0.683358805542634	0.08129499382521523	0.08065796252941787
SMART	SM00112:CA	12	2.1015761821366024	7.393484930659728E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 22883, 56132, 56121, 2195, 64072	310	36	2957	3.1795698924731184	0.1743316372815833	0.18923173683361527	0.18923173683361527
UP_SEQ_FEATURE	repeat:ANK 7	10	1.7513134851138354	7.517825597596974E-4	57534, 1612, 287, 288, 26057, 26115, 602, 142678, 84079, 57182	489	29	5368	3.7853465905084267	0.7126126296438917	0.08129499382521523	0.08065796252941787
INTERPRO	IPR020894:Cadherin conserved site	11	1.926444833625219	7.850481371746175E-4	27253, 56105, 56106, 56111, 8642, 54510, 56098, 56132, 56121, 2195, 64072	481	35	5291	3.4571428571428573	0.5543100668320868	0.141134856007066	0.14058622682919597
INTERPRO	IPR020683:Ankyrin repeat-containing domain	20	3.502626970227671	8.229437668050495E-4	9881, 26115, 25998, 57182, 57534, 1612, 57524, 23390, 287, 288, 124930, 120892, 26057, 602, 142689, 142678, 9815, 84079, 79705, 55608	481	96	5291	2.291666666666667	0.5713685265455334	0.141134856007066	0.14058622682919597
UP_SEQ_FEATURE	repeat:ANK 8	9	1.5761821366024518	8.724136683018593E-4	57534, 1612, 287, 288, 26057, 26115, 142678, 84079, 57182	489	24	5368	4.116564417177915	0.764746867693076	0.08129499382521523	0.08065796252941787
