Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	101	17.719298245614034	1.6393773580094832E-5	9101, 5144, 23167, 56098, 56132, 91010, 2028, 54510, 11188, 3631, 10893, 5536, 4326, 389072, 22883, 2040, 338567, 27253, 2678, 124930, 1464, 55576, 54769, 526, 2319, 10787, 8396, 6653, 8394, 3416, 23263, 5797, 1636, 9378, 8567, 4641, 2182, 57534, 23390, 1128, 783, 201232, 84455, 55915, 1889, 4771, 4651, 2195, 134957, 55361, 394, 1139, 58513, 55761, 1138, 1136, 1499, 145567, 64072, 5218, 91608, 8727, 23499, 7094, 80036, 287, 56105, 288, 56106, 324, 9429, 57719, 375790, 84079, 5745, 22933, 5361, 65981, 64137, 57282, 28231, 56111, 610, 5359, 10397, 123879, 4163, 8001, 91584, 8642, 9293, 200734, 56121, 26503, 29979, 80727, 80333, 2776, 55714, 747, 5924	434	758	4819	1.479514973918753	7.046896318101403E-4	7.049322639440778E-4	6.557509432037933E-4
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	218	38.24561403508772	4.021115952389603E-5	94005, 5144, 8897, 9743, 23167, 56098, 590, 55681, 80762, 2548, 23161, 284339, 201163, 11188, 3631, 10893, 3636, 3092, 389072, 65258, 92293, 22883, 57633, 2678, 55210, 1464, 55576, 5824, 10787, 2319, 4074, 25, 10075, 3416, 85439, 55227, 23263, 23385, 5832, 6262, 8443, 8567, 4641, 9099, 2218, 57534, 1128, 23390, 84455, 23274, 55236, 6259, 55915, 51439, 5066, 5189, 4771, 4651, 7248, 2232, 23001, 84918, 55361, 394, 1139, 58513, 1138, 1136, 1499, 145567, 84364, 11022, 9779, 64072, 10184, 389432, 23499, 287, 56105, 288, 56106, 120892, 11276, 9429, 5745, 22933, 65981, 23347, 23348, 28231, 1954, 56111, 610, 54971, 10397, 8001, 91584, 56121, 26503, 200576, 81544, 80333, 55275, 2137, 23230, 195814, 23352, 54867, 55714, 747, 6857, 26958, 6198, 9101, 3241, 56132, 57221, 91010, 55284, 2820, 2028, 51366, 54510, 4326, 5536, 8925, 7175, 10818, 25998, 2040, 338567, 121665, 27253, 124930, 55852, 90701, 54769, 526, 5789, 9487, 284161, 8396, 158747, 6653, 8394, 80146, 55069, 5797, 83891, 10231, 80142, 91949, 1636, 9378, 9931, 4122, 8720, 25851, 130507, 2182, 80255, 783, 201232, 4919, 85021, 9927, 1889, 25829, 2195, 134957, 51280, 55761, 56850, 10452, 5218, 91608, 8727, 84749, 7094, 80036, 10902, 324, 78999, 57719, 375790, 84079, 9706, 8618, 5361, 23505, 64137, 29966, 9043, 51061, 57282, 23061, 57169, 9955, 5359, 123879, 5250, 4163, 8642, 27315, 9293, 200734, 29979, 80727, 57732, 171586, 2776, 26100, 2531, 54901, 84892, 10564, 5924, 23190	434	1978	4819	1.2237632389463826	0.0017276205671766798	8.645399297637647E-4	8.042231904779206E-4
UP_KW_CELLULAR_COMPONENT	KW-0770~Synapse	34	5.964912280701754	1.5135226808824024E-4	4131, 6198, 9743, 26115, 55361, 134957, 57282, 80762, 1139, 1138, 85439, 1499, 1136, 56850, 3631, 9378, 8001, 22883, 26503, 9371, 23390, 287, 1128, 288, 400745, 23098, 120892, 526, 9922, 747, 375790, 10564, 6857, 8618	434	191	4819	1.9765724901681665	0.00648750476995863	0.0021693825092647767	0.0020180302411765367
UP_KW_BIOLOGICAL_PROCESS	KW-0072~Autophagy	18	3.1578947368421053	4.6468778967166083E-4	22933, 25, 9821, 10193, 23001, 25851, 56270, 29979, 55255, 54472, 57724, 26100, 23274, 120892, 55626, 9779, 9706, 9927	308	79	3423	2.5322209436133485	0.0445281602409352	0.0450747155981511	0.0450747155981511
UP_KW_LIGAND	KW-0106~Calcium	43	7.5438596491228065	6.002584919434249E-4	65981, 5066, 26, 56098, 56132, 3241, 2195, 29904, 1954, 58513, 2820, 2028, 6709, 56111, 54510, 5335, 10893, 5359, 4326, 64072, 4745, 9378, 6262, 8642, 8720, 23499, 22883, 56121, 80727, 80333, 80036, 56105, 27253, 783, 56106, 84455, 747, 375790, 309, 6857, 5924, 85021, 8618	229	263	2316	1.6535440915204145	0.019030625947128232	0.019208271742189597	0.019208271742189597
UP_KW_MOLECULAR_FUNCTION	KW-0343~GTPase activation	17	2.982456140350877	8.057766852891566E-4	23637, 64786, 9743, 125058, 23158, 394, 22930, 57569, 23061, 201163, 120892, 84364, 9815, 84253, 9779, 10144, 84079	308	75	3402	2.503636363636364	0.05410244002768161	0.05559859128495181	0.05479281459966265
UP_KW_MOLECULAR_FUNCTION	KW-0344~Guanine-nucleotide releasing factor	15	2.631578947368421	0.002092854322600147	8567, 9855, 7204, 57221, 23348, 57679, 23263, 23077, 6655, 9922, 84079, 5910, 10564, 5924, 8925	308	67	3402	2.472862957937585	0.1345955168602968	0.07220347412970507	0.071157046968405
UP_KW_DOMAIN	KW-0677~Repeat	179	31.403508771929822	0.0020976569353396675	26958, 7204, 26038, 23321, 56098, 56132, 3241, 57182, 126295, 23327, 25988, 80762, 1612, 10659, 23040, 2820, 54472, 54510, 84842, 11188, 8924, 10893, 5536, 4326, 55608, 8925, 389072, 23178, 80108, 22883, 25998, 146198, 22920, 57633, 27253, 55854, 124930, 1982, 1464, 55576, 405, 5789, 79809, 9881, 162962, 6653, 23300, 149076, 56270, 57524, 85439, 55227, 3818, 57521, 27067, 5797, 8945, 55626, 142678, 4745, 84461, 1636, 9652, 6262, 9378, 22905, 4641, 25851, 56165, 23158, 142, 57534, 23390, 2976, 79269, 84455, 142689, 51433, 79705, 309, 85021, 10885, 8575, 4131, 5066, 128553, 5189, 4651, 10174, 26115, 23001, 221400, 2195, 23005, 134957, 23523, 394, 374900, 1778, 58513, 55761, 6709, 1499, 79699, 145567, 5335, 11022, 9815, 7637, 64072, 10061, 254065, 23499, 287, 56105, 167465, 55255, 288, 56106, 57679, 151613, 323, 324, 10902, 23098, 120892, 11276, 602, 78999, 84872, 375790, 84079, 3181, 9201, 5361, 25929, 64376, 29966, 3064, 23348, 51061, 1954, 23061, 55660, 56111, 57169, 26057, 56916, 6449, 5359, 5910, 7812, 10397, 158431, 5250, 8882, 7551, 91584, 9855, 8642, 56121, 727957, 80728, 80333, 57336, 5927, 23195, 26100, 10847, 125488, 23230, 23077, 23198, 23473, 55714, 6857, 5924, 55717, 55958	359	1559	3673	1.1747173836524734	0.05313273810942576	0.054539080318831354	0.05244142338349169
UP_KW_PTM	KW-0597~Phosphoprotein	321	56.315789473684205	0.003157345101177475	22878, 5144, 8897, 6597, 7204, 9743, 6477, 8533, 23167, 23049, 590, 55681, 57182, 2548, 1457, 23040, 54472, 201163, 11188, 3631, 51400, 51646, 3636, 3092, 389072, 23178, 55210, 51773, 1464, 55576, 9748, 5824, 2319, 4074, 25, 4077, 8315, 10075, 149076, 57524, 85439, 23382, 55227, 57521, 23263, 27067, 7337, 142678, 55108, 31, 84461, 26093, 6262, 8443, 8567, 63893, 4089, 4641, 142, 79660, 57534, 1128, 84455, 55236, 6259, 51433, 1807, 55915, 10885, 51439, 8575, 6397, 47, 5066, 10051, 5189, 4771, 4651, 7248, 10174, 2232, 23001, 84918, 23002, 64759, 23005, 55361, 29904, 8450, 394, 58513, 6709, 1136, 1499, 145567, 84364, 11022, 1939, 9779, 1938, 10061, 254065, 29117, 23499, 79443, 287, 10623, 288, 57679, 29110, 1025, 57553, 120892, 23131, 11276, 602, 9429, 5745, 27291, 9201, 22933, 9320, 9441, 65981, 4673, 9567, 7027, 23347, 23348, 22930, 28231, 1954, 57569, 610, 54971, 26057, 10274, 56916, 22809, 7812, 10397, 5636, 347733, 8001, 64421, 64786, 22828, 80208, 23358, 26503, 200576, 80333, 55275, 2137, 10847, 54862, 23230, 23352, 23473, 84253, 8239, 747, 6857, 55718, 55717, 5529, 26958, 6198, 9101, 8930, 64434, 26038, 23321, 56252, 60509, 57221, 84959, 91010, 23327, 1612, 2820, 26275, 51366, 8803, 8924, 85015, 10376, 6624, 8925, 7175, 23210, 10818, 55170, 25998, 23215, 2040, 338567, 22920, 26043, 55854, 1983, 1982, 55852, 54769, 405, 6878, 10144, 8396, 6653, 8394, 80146, 2962, 5797, 83891, 10231, 55626, 10111, 80142, 1636, 9135, 9378, 9810, 9931, 22905, 8720, 25851, 130507, 2182, 10129, 27352, 80255, 2976, 783, 2975, 79269, 4919, 9922, 309, 85021, 9927, 1889, 4131, 128553, 9821, 25829, 26115, 221400, 22794, 2194, 134957, 23523, 51280, 1778, 10579, 56850, 84886, 5335, 9815, 8602, 7637, 5218, 8727, 4141, 92017, 7094, 54440, 151613, 323, 10902, 324, 23098, 1783, 196528, 78999, 57719, 375790, 84079, 10102, 9706, 8618, 3181, 114804, 23505, 25929, 29966, 28996, 9043, 3064, 51061, 57282, 23061, 55660, 57724, 5359, 6449, 5250, 23637, 4163, 7551, 23518, 9855, 8642, 200734, 146057, 80728, 79066, 29979, 80727, 57732, 5927, 23195, 26100, 23077, 23198, 389840, 54901, 5128, 10564, 5924, 23190, 5925	401	3122	4201	1.0771605579261327	0.06720654572735907	0.07261893732708193	0.07261893732708193
UP_KW_BIOLOGICAL_PROCESS	KW-0833~Ubl conjugation pathway	42	7.368421052631578	0.003535661689598472	9960, 114804, 9320, 9101, 10193, 7322, 8315, 10075, 6477, 23321, 8450, 55284, 23327, 79699, 51366, 8945, 55626, 142678, 8924, 7337, 85015, 8925, 84461, 9354, 9810, 63893, 23014, 130507, 55230, 9099, 84749, 23358, 9690, 57534, 79269, 55236, 23077, 23352, 142689, 51433, 8239, 55958	308	302	3423	1.545605057194461	0.29327159450130524	0.1264816052054046	0.1264816052054046
