Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0945~Host-virus interaction	12	2.10896309314587	1.3212612264571223E-4	Q9UPU5, P50750, Q5T4S7, Q6ZRS2, O75179, Q9UHD2, Q8N122, Q9Y297, Q92878, Q9H2X6, Q05086, Q9Y490	104	65	2230	3.9585798816568047	0.007372242433494658	0.007266936745514173	0.007266936745514173
UP_KW_PTM	KW-0597~Phosphoprotein	129	22.671353251318102	3.943681693283046E-4	Q14204, Q5VYK3, Q12789, O95714, Q9Y2W6, O94988, Q9UPN6, P17036, Q96N46, Q8WWQ8, Q92574, Q8IWB9, Q6IQ55, Q9UL68, Q12955, Q92609, O75534, Q9UBC2, Q7Z698, Q8NBZ7, Q01484, Q9H2X6, O15091, Q99755, Q5VVW2, Q9Y4D2, Q9BZH6, Q5T5C0, Q14186, Q96RL7, Q9UMZ2, Q6ZT12, P42694, Q6P3W7, Q15276, Q5TBA9, O94921, Q96D71, Q8WVM7, O94887, O43933, Q6ZWE6, Q8TC07, O75400, Q7Z569, Q9Y2I1, Q96PX1, P51523, O00291, Q8WU20, Q9UBU6, Q7Z6Z7, Q15042, Q00537, Q92673, Q9NRA2, Q14596, Q93008, Q14117, O75995, A8K855, Q86YT6, Q8NAN2, P51532, Q9Y6J0, O75592, Q5TH69, Q659A1, Q66K14, Q01973, O95905, Q9C0H5, O60271, Q92545, Q8TF42, Q6ZN16, O95359, Q6PJG9, Q8WU90, Q9ULJ7, P23508, O60488, Q9P2F6, Q9HAR2, Q96JI7, Q9BQS8, Q6ZRS2, O75179, Q96HU8, Q9Y2D1, O95243, Q05086, Q7Z418, Q9Y2L5, Q9HCE0, P20645, Q5C9Z4, Q9H3E2, Q15751, Q9UNX4, P50750, Q13615, O15068, O75962, Q9HCD6, Q9UHD2, O60504, Q9NU22, Q96T23, Q9NW68, Q92870, Q96Q42, P55010, Q8N122, Q9BZ29, Q92878, Q5T0B9, Q9Y490, Q9UPU5, Q5T4S7, Q86TV6, P53355, O00418, P78356, Q68CP9, O43909, Q6DN90, Q9UL51, Q14161	153	1783	2454	1.1604368051202534	0.0043295060309287425	0.004732418031939655	0.004732418031939655
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	37	6.502636203866433	7.83223768546768E-4	O94921, O15068, O94985, Q6ZWE6, Q9Y2I1, Q9HCF6, P23508, Q96AE7, Q9Y5G9, Q9UIW2, O60488, Q8WWQ8, Q9HCL0, Q92673, Q9HAR2, Q9NRA2, Q9Y490, Q9Y5R2, Q86TV6, Q14517, Q12955, P78356, Q9UBC2, A8K855, Q7Z698, Q96HU8, Q01484, Q86YT6, Q7Z418, Q86YJ7, Q99755, Q9H172, Q9H251, Q9Y4D2, O14917, Q9UL51, Q5T5C0	162	428	3227	1.7220347294334832	0.023996835349411105	0.01709355424953979	0.014887934346373364
UP_KW_DOMAIN	KW-0677~Repeat	76	13.356766256590511	9.044517397430033E-4	Q6ZN57, Q14204, O43313, O95714, Q5VYK3, Q9Y2W6, O94985, Q6PJG9, Q8WXK4, Q8WU90, Q9ULJ7, P17036, Q96N46, Q8WWQ8, P23468, Q8N584, Q6ZT07, Q9Y5R2, Q9UL68, Q12955, Q8NDA8, O75534, Q9UBC2, Q6ZRS2, O75179, Q01484, Q86YJ7, O14917, Q9BZH6, Q5T5C0, Q96RL7, Q9UMZ2, Q8N895, Q15751, Q9UNX4, Q96D71, Q9BXT4, O75962, Q5MNZ6, O94887, Q9HCD6, O43933, Q6ZWE6, O75400, Q9Y2I1, O60504, Q9NU22, P51523, Q96AE7, Q9Y5G9, Q92870, Q96Q42, Q9UIW2, Q9HCL0, Q8N122, Q9Y297, Q92673, Q9BZ29, Q5T0B9, Q92832, Q7Z4L5, Q86TV6, P53355, Q14517, A8K855, Q6ZMW2, Q86YT6, Q5XKL5, Q9Y6J0, O75592, Q9H251, Q66K14, Q3ZCX4, Q9P2E3, Q9C0H5, Q14161	141	1005	2480	1.3300871528880422	0.01793444875495498	0.018089034794860067	0.01628013131537406
UP_KW_CELLULAR_COMPONENT	KW-0968~Cytoplasmic vesicle	20	3.5149384885764503	0.0011028099515832121	Q5VYK3, Q92609, Q9BQS8, Q7Z698, Q5XKL5, Q5TH69, Q9H172, O00291, Q9BZH6, Q6DN90, Q5T5C0, Q92542, Q96RL7, Q9UMZ2, Q92673, Q9NRA2, Q14596, O60271, Q6P3W7, Q15276	162	178	3227	2.238174504092107	0.03362756279423185	0.01709355424953979	0.014887934346373364
UP_KW_MOLECULAR_FUNCTION	KW-0343~GTPase activation	10	1.7574692442882252	0.00165140756207953	Q8TBP0, Q5VVW2, O94988, Q92609, Q66K14, Q8TC07, Q9P2F6, Q15042, Q14161, Q6ZT07	115	57	2287	3.4889397406559874	0.07014070139136219	0.0531308810326535	0.0531308810326535
UP_KW_MOLECULAR_FUNCTION	KW-0344~Guanine-nucleotide releasing factor	9	1.5817223198594026	0.0024150400469387955	Q5TH69, Q96Q42, O15068, O75962, Q6DN90, O94887, Q9BZ29, Q15751, O75592	115	49	2287	3.652706299911269	0.10092631289306886	0.0531308810326535	0.0531308810326535
UP_KW_CELLULAR_COMPONENT	KW-0458~Lysosome	14	2.460456942003515	0.0028235922119296793	Q2KHT3, Q12955, Q5MNZ6, Q9BQS8, Q01484, Q9NQL2, P20645, Q9HCE0, Q96RL7, Q8N122, Q9NRA2, Q14596, O60271, Q13231	162	110	3227	2.5352413019079685	0.0839232852743832	0.029177119523273353	0.025412329907367113
UP_KW_DOMAIN	KW-0175~Coiled coil	52	9.13884007029877	0.0031872617120396237	Q14204, O95714, O94988, Q6ZN16, O95359, Q8WU90, Q9HCF6, P23508, A6NEE1, Q92574, Q6IQ55, Q9UL68, Q9UBC2, Q9BQS8, O75179, Q86YJ7, Q9HCE0, Q5T5C0, Q96RL7, Q9UMZ2, Q6ZT12, Q9H3E2, Q6P3W7, Q15276, Q13615, Q96D71, O15068, Q8WVM7, O75962, O15066, O94887, O75400, Q9UHD2, Q9Y2I1, Q7Z569, Q9NU22, Q96AE7, O00291, Q96T23, Q9UIW2, Q9BZ29, Q92878, Q14596, Q9Y490, Q86YT6, Q5XKL5, P51532, Q6DN90, O43909, Q9P2E3, Q14161, O60271	141	644	2480	1.42020175322673	0.06185150942252715	0.03187261712039624	0.028685355408356615
UP_KW_CELLULAR_COMPONENT	KW-0966~Cell projection	20	3.5149384885764503	0.010823235977367193	Q7Z4L5, Q14204, Q12955, O94985, O75962, A8K855, O15066, Q9HCD6, Q5XKL5, O75592, P23508, Q99755, Q9Y4D2, Q9BZH6, Q01973, Q9HAR2, Q6IQ55, Q93008, Q96JI7, Q9Y490	162	218	3227	1.8275002831577754	0.28634043607373183	0.08388007882459575	0.07305684284722855
