"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"407e529e-0402-44c0-a055-8565b5ec72b7","316573","Birk - A9 (TANK 2)","10/14/2019 11:36 PM","13.9","13.9° C","100","13.9","0","900142","False","81","3.67"
"a1be8b4f-b79b-4d64-90b1-be4e60208578","316573","Birk - A9 (TANK 2)","10/14/2019 11:06 PM","13.9","13.9° C","100","13.9","0","900142","False","81","3.68"
"c001181d-8bc1-408c-9e92-70d85d5df665","316573","Birk - A9 (TANK 2)","10/14/2019 10:37 PM","14","14° C","100","14","0","900142","False","81","3.69"
"64490e4d-76cb-474c-92a8-f4bff3d7a4eb","316573","Birk - A9 (TANK 2)","10/14/2019 10:07 PM","14","14° C","100","14","0","900142","False","81","3.69"
"04e1a42f-f915-4429-9b29-5a2032e7b670","316573","Birk - A9 (TANK 2)","10/14/2019 9:37 PM","13.9","13.9° C","100","13.9","0","900142","False","86","3.69"
"6225402f-26c6-4dab-9fd7-efcbd3c0baaf","316573","Birk - A9 (TANK 2)","10/14/2019 9:07 PM","13.9","13.9° C","100","13.9","0","900142","False","84","3.67"
"128f9a8e-6c1a-476a-821d-68d54e9adb90","316573","Birk - A9 (TANK 2)","10/14/2019 8:38 PM","13.9","13.9° C","100","13.9","0","900142","False","94","3.68"
"41b4998a-9ac4-48b9-82ec-dd232870fdad","316573","Birk - A9 (TANK 2)","10/14/2019 8:08 PM","14","14° C","100","14","0","900142","False","89","3.68"
"90f56794-4a38-48da-aad0-0882804bbe23","316573","Birk - A9 (TANK 2)","10/14/2019 7:38 PM","14","14° C","100","14","0","900142","False","94","3.68"
"3463c6ae-0679-4326-a0c2-2b023469d970","316573","Birk - A9 (TANK 2)","10/14/2019 7:08 PM","14","14° C","100","14","0","900142","False","85","3.67"
"f3390564-d8df-46d8-9120-c77c86e755c4","316573","Birk - A9 (TANK 2)","10/14/2019 6:38 PM","14","14° C","100","14","0","900142","False","92","3.68"
"30ebe0fd-ff61-4430-b5df-779de3c006cc","316573","Birk - A9 (TANK 2)","10/14/2019 6:09 PM","14","14° C","100","14","0","900142","False","94","3.67"
"db904a06-dfc7-4565-9af4-805ea8b6ccbc","316573","Birk - A9 (TANK 2)","10/14/2019 5:39 PM","14","14° C","100","14","0","900142","False","84","3.67"
"4e3b011d-e31a-4ce8-b4cc-bdbe65f3174f","316573","Birk - A9 (TANK 2)","10/14/2019 5:09 PM","14","14° C","100","14","0","900142","False","86","3.67"
"9b9ac603-7ae0-401a-8720-8c5be67efbdb","316573","Birk - A9 (TANK 2)","10/14/2019 4:39 PM","14","14° C","100","14","0","900142","False","100","3.67"
"aecb87c6-bb49-43b8-b326-01bf3efbba75","316573","Birk - A9 (TANK 2)","10/14/2019 4:10 PM","14","14° C","100","14","0","900142","False","100","3.67"
"2a35bb1b-520b-461f-b056-ec01e1e5ef82","316573","Birk - A9 (TANK 2)","10/14/2019 3:40 PM","14","14° C","100","14","0","900142","False","100","3.66"
"66e5bf7d-5bae-4de3-9586-99b8cb63cc98","316573","Birk - A9 (TANK 2)","10/14/2019 3:10 PM","14","14° C","100","14","0","900142","False","96","3.68"
"e22e0ce0-e266-4b22-9009-cc90fd0b9590","316573","Birk - A9 (TANK 2)","10/14/2019 2:40 PM","14","14° C","100","14","0","900142","False","89","3.68"
"3c038359-017b-49bd-97b1-617ec49cb2d9","316573","Birk - A9 (TANK 2)","10/14/2019 2:11 PM","14.1","14.1° C","100","14.1","0","900142","False","93","3.67"
"f0b09740-bcdb-4d5c-97a8-0e576b7aeea3","316573","Birk - A9 (TANK 2)","10/14/2019 1:41 PM","14","14° C","100","14","0","900142","False","100","3.69"
"27ec7361-8030-4235-b368-e28998f92c5b","316573","Birk - A9 (TANK 2)","10/14/2019 1:11 PM","14","14° C","100","14","0","900142","False","82","3.67"
"75b66ae1-b6d9-40ff-8efd-4c7aab751f3a","316573","Birk - A9 (TANK 2)","10/14/2019 12:41 PM","14","14° C","100","14","0","900142","False","82","3.68"
"e734e724-9585-44a5-8949-8ac253c66b6e","316573","Birk - A9 (TANK 2)","10/14/2019 12:12 PM","14","14° C","100","14","0","900142","False","92","3.68"
"02759c5c-9474-4a03-80b8-8deac45ea753","316573","Birk - A9 (TANK 2)","10/14/2019 11:42 AM","14","14° C","100","14","0","900142","False","86","3.67"
"5f4d501d-04cc-43f1-a6ee-bd6102fbdfa5","316573","Birk - A9 (TANK 2)","10/14/2019 11:12 AM","14","14° C","100","14","0","900142","False","92","3.69"
"da92584d-5875-496d-9cd2-daf4d5c3cd77","316573","Birk - A9 (TANK 2)","10/14/2019 10:42 AM","13.9","13.9° C","100","13.9","0","900142","False","94","3.69"
"834767ee-f93f-4106-947d-78af4432d13f","316573","Birk - A9 (TANK 2)","10/14/2019 10:12 AM","14","14° C","100","14","0","900142","False","98","3.67"
"32c21024-4c49-4063-8e51-72d541342885","316573","Birk - A9 (TANK 2)","10/14/2019 9:43 AM","13.9","13.9° C","100","13.9","0","900142","False","98","3.69"
"fab0628b-3d1f-43c5-8310-96668f153bb7","316573","Birk - A9 (TANK 2)","10/14/2019 9:13 AM","14","14° C","100","14","0","900142","False","94","3.69"
"81c220e8-dd63-457c-9b6e-f45b6bed933c","316573","Birk - A9 (TANK 2)","10/14/2019 8:43 AM","13.9","13.9° C","100","13.9","0","900142","False","82","3.67"
"d5c9b5f2-7e72-44d5-9724-5a844712771f","316573","Birk - A9 (TANK 2)","10/14/2019 8:13 AM","13.9","13.9° C","100","13.9","0","900142","False","94","3.69"
"06c7a398-6c0e-4af4-bc6f-6bfa682621ba","316573","Birk - A9 (TANK 2)","10/14/2019 7:44 AM","13.9","13.9° C","100","13.9","0","900142","False","82","3.67"
"52d8395c-3f2b-4520-901c-28fb8ac3f23f","316573","Birk - A9 (TANK 2)","10/14/2019 7:14 AM","13.9","13.9° C","100","13.9","0","900142","False","92","3.68"
"6f043f64-47c0-41f9-a753-5e9c2b5a6683","316573","Birk - A9 (TANK 2)","10/14/2019 6:44 AM","13.9","13.9° C","100","13.9","0","900142","False","88","3.7"
"161ddefd-53e4-4276-8707-bdd8d8971cc7","316573","Birk - A9 (TANK 2)","10/14/2019 6:14 AM","13.9","13.9° C","100","13.9","0","900142","False","97","3.68"
"dd57daba-698a-473d-b7de-9aefd79d1ac0","316573","Birk - A9 (TANK 2)","10/14/2019 5:45 AM","13.9","13.9° C","100","13.9","0","900142","False","97","3.69"
"42c8a2c8-4c1f-4336-b043-c9e5e5d48c26","316573","Birk - A9 (TANK 2)","10/14/2019 5:15 AM","13.9","13.9° C","100","13.9","0","900142","False","97","3.67"
"933484f5-cfda-4c9e-b7a9-49d44ae2509a","316573","Birk - A9 (TANK 2)","10/14/2019 4:45 AM","13.9","13.9° C","100","13.9","0","900142","False","97","3.68"
"7129f71d-289b-4653-b809-777bee00483d","316573","Birk - A9 (TANK 2)","10/14/2019 4:15 AM","13.9","13.9° C","100","13.9","0","900142","False","96","3.68"
"711c531e-56e2-4e10-9364-1a01fa785eeb","316573","Birk - A9 (TANK 2)","10/14/2019 3:46 AM","13.9","13.9° C","100","13.9","0","900142","False","88","3.67"
"278c1bf3-ed4a-4c4b-96a1-d3a7d7316251","316573","Birk - A9 (TANK 2)","10/14/2019 3:16 AM","13.9","13.9° C","100","13.9","0","900142","False","93","3.69"
"a108bc23-c0fb-4cc7-9da7-82ae26760111","316573","Birk - A9 (TANK 2)","10/14/2019 2:46 AM","13.9","13.9° C","100","13.9","0","900142","False","81","3.68"
"4bb02c66-a412-4b60-b2b1-8571a93985a6","316573","Birk - A9 (TANK 2)","10/14/2019 2:16 AM","13.9","13.9° C","100","13.9","0","900142","False","94","3.68"
"caa2b30b-a25c-4d27-a3dd-e228e46af91f","316573","Birk - A9 (TANK 2)","10/14/2019 1:46 AM","13.9","13.9° C","100","13.9","0","900142","False","82","3.67"
"5bf9a922-2d2b-4815-a8e5-eb7f3eb49d88","316573","Birk - A9 (TANK 2)","10/14/2019 1:17 AM","13.9","13.9° C","100","13.9","0","900142","False","96","3.68"
"e03b57ad-401c-415f-b13f-85d0aff710ba","316573","Birk - A9 (TANK 2)","10/14/2019 12:47 AM","13.9","13.9° C","100","13.9","0","900142","False","89","3.67"
"9b4c7605-73dd-4f0b-ba76-dbc35029d657","316573","Birk - A9 (TANK 2)","10/14/2019 12:17 AM","13.9","13.9° C","100","13.9","0","900142","False","81","3.68"
"f30bf8d7-f0c5-4741-9b65-79146c43e433","316573","Birk - A9 (TANK 2)","10/13/2019 11:47 PM","13.9","13.9° C","100","13.9","0","900142","False","94","3.67"
"2b768a05-db87-4595-b56c-c78ae5000504","316573","Birk - A9 (TANK 2)","10/13/2019 11:18 PM","13.9","13.9° C","100","13.9","0","900142","False","93","3.69"
"dca3154a-3d2f-4508-a998-e2625c1fef3e","316573","Birk - A9 (TANK 2)","10/13/2019 10:48 PM","13.9","13.9° C","100","13.9","0","900142","False","81","3.66"
"b21dd491-ed04-462b-b5d5-4ebc8c3d5bf9","316573","Birk - A9 (TANK 2)","10/13/2019 10:18 PM","13.9","13.9° C","100","13.9","0","900142","False","81","3.68"
"f87d59fb-7bbc-4788-bcf7-b80199a38f62","316573","Birk - A9 (TANK 2)","10/13/2019 9:48 PM","13.9","13.9° C","100","13.9","0","900142","False","84","3.68"
