"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage"
"d9a2cfd0-d182-45a2-aff2-d13c964aaaa5","316573","Birk - A9 (TANK 2)","11/27/2018 4:27 PM","23.9","23.9° C","100","23.9","0","900142","False","100","3.67"
"0f2e357e-e0f2-4ed2-a624-9f75626a3818","316573","Birk - A9 (TANK 2)","11/27/2018 4:17 PM","23.9","23.9° C","100","23.9","0","900142","False","100","3.67"
"02935f85-4f58-4e48-ac74-5c3030e08583","316573","Birk - A9 (TANK 2)","11/27/2018 4:07 PM","23.7","23.7° C","100","23.7","0","900142","False","100","3.68"
"07fbd97f-cab4-4eee-9e81-9e383ca32ca0","316573","Birk - A9 (TANK 2)","11/27/2018 3:57 PM","23.6","23.6° C","100","23.6","0","900142","False","100","3.68"
"08203c9b-3821-4a58-8fa6-03eb2fa5bb3f","316573","Birk - A9 (TANK 2)","11/27/2018 3:47 PM","23.7","23.7° C","100","23.7","0","900142","False","100","3.68"
"a7fddcdb-7bf9-484c-b537-b8534da181f2","316573","Birk - A9 (TANK 2)","11/27/2018 3:37 PM","23.8","23.8° C","100","23.8","0","900142","False","100","3.68"
"451c8fb0-4036-40c6-b6f1-b16cd51eca00","316573","Birk - A9 (TANK 2)","11/27/2018 3:27 PM","23.9","23.9° C","100","23.9","0","900142","False","100","3.68"
"a51bd325-0434-44fa-8f0e-5326d6c05dad","316573","Birk - A9 (TANK 2)","11/27/2018 3:17 PM","23.9","23.9° C","100","23.9","0","900142","False","100","3.67"
"d36f73d9-23a9-43f4-9a3c-3a9128116d7b","316573","Birk - A9 (TANK 2)","11/27/2018 3:07 PM","23.8","23.8° C","100","23.8","0","900142","False","100","3.67"
"2cd1acbf-b090-4f0c-8131-5e6978abadbd","316573","Birk - A9 (TANK 2)","11/27/2018 2:58 PM","23.6","23.6° C","100","23.6","0","900142","False","100","3.68"
"d12dab4a-9e04-49b6-b0dc-b60cfbc059e9","316573","Birk - A9 (TANK 2)","11/27/2018 2:48 PM","23.6","23.6° C","100","23.6","0","900142","False","100","3.69"
"aa24a1b7-ed53-4e15-b82f-b0c2e70f75af","316573","Birk - A9 (TANK 2)","11/27/2018 2:38 PM","23.6","23.6° C","100","23.6","0","900142","False","100","3.69"
"c753cdac-c1ef-48b2-922b-1a4ff0a7e953","316573","Birk - A9 (TANK 2)","11/27/2018 2:28 PM","23.2","23.2° C","100","23.2","0","900142","False","100","3.67"
"54579f75-b9d3-4b05-9bbc-92aa3f1aba0b","316573","Birk - A9 (TANK 2)","11/27/2018 2:18 PM","23","23° C","100","23","0","900142","False","100","3.67"
"0a15d9df-5438-4248-b35e-52cf931e0c47","316573","Birk - A9 (TANK 2)","11/27/2018 2:08 PM","22.8","22.8° C","100","22.8","0","900142","False","100","3.67"
"d8f9e94e-5acf-430b-bca2-a9c18fbe524d","316573","Birk - A9 (TANK 2)","11/27/2018 1:58 PM","22.8","22.8° C","100","22.8","0","900142","False","100","3.67"
"e3bda6f0-94e1-473f-9272-ebacd46fc885","316573","Birk - A9 (TANK 2)","11/27/2018 1:48 PM","22.9","22.9° C","100","22.9","0","900142","False","100","3.67"
"56533ef4-debd-4c38-9d3b-fa42cb2ca389","316573","Birk - A9 (TANK 2)","11/27/2018 1:38 PM","22.9","22.9° C","100","22.9","0","900142","False","100","3.68"
"0807dc24-f568-4893-a465-f6e649d42602","316573","Birk - A9 (TANK 2)","11/27/2018 1:28 PM","22.9","22.9° C","100","22.9","0","900142","False","100","3.66"
"eb1b532e-af52-4398-b2e7-4d4a8449ab0d","316573","Birk - A9 (TANK 2)","11/27/2018 1:18 PM","22.8","22.8° C","100","22.8","0","900142","False","100","3.68"
"45637057-b5ae-499d-b0b3-c2a40ab14538","316573","Birk - A9 (TANK 2)","11/27/2018 1:08 PM","22.8","22.8° C","100","22.8","0","900142","False","100","3.68"
"0fc6684c-cfb8-4db7-9f9d-9b70e0ece56f","316573","Birk - A9 (TANK 2)","11/27/2018 12:58 PM","22.4","22.4° C","100","22.4","0","900142","False","100","3.67"
"64da4495-a81c-4956-9145-e7dbf8149774","316573","Birk - A9 (TANK 2)","11/27/2018 12:48 PM","22.4","22.4° C","100","22.4","0","900142","False","100","3.68"
"53ba416a-3643-4f4e-818b-68e74dbb61eb","316573","Birk - A9 (TANK 2)","11/27/2018 12:39 PM","22.5","22.5° C","100","22.5","0","900142","False","100","3.67"
"f798dd32-0cfc-4298-b7ff-e64bc2d3c324","316573","Birk - A9 (TANK 2)","11/27/2018 12:29 PM","22.6","22.6° C","100","22.6","0","900142","False","100","3.69"
