gene.name	cell_type	paralog
ACIN1	M17	Adar1
ADAR	Hela	Adar1
ADARB1	Hela	Adar1
ADARB1	M17	Adar1
AIFM1	Hela	Adar1
CHD5	M17	Adar1
CPSF6	M17	Adar1
DHX15	Hela	Adar1
DKFZP586J0619	M17	Adar1
EEF1A1	Hela	Adar1
EEF1A2	Hela	Adar1
ELAVL4	M17	Adar1
EP400	M17	Adar1
FAM208B	Hela	Adar1
FTSJ3	Hela	Adar1
GCN1L1	M17	Adar1
GLYR1	Hela	Adar1
GNB2L1	M17	Adar1
GNL2	Hela	Adar1
GTF2E2	Hela	Adar1
GTF3C4	M17	Adar1
HCFC1	M17	Adar1
HNRNPDL	M17	Adar1
HNRNPL	Hela	Adar1
HNRNPM	M17	Adar1
ILF2	M17	Adar1
ILF3	Hela	Adar1
ILF3	M17	Adar1
INTS1	M17	Adar1
KNOP1	Hela	Adar1
KTN1	M17	Adar1
MDC1	M17	Adar1
MKI67	Hela	Adar1
MKI67	M17	Adar1
MRE11A	M17	Adar1
MSH6	M17	Adar1
NCL	M17	Adar1
NOL6	M17	Adar1
NPM1	M17	Adar1
NUMA1	M17	Adar1
PARP1	M17	Adar1
POGZ	M17	Adar1
POTEE	Hela	Adar1
POTEF	Hela	Adar1
POTEI	Hela	Adar1
POTEJ	Hela	Adar1
PUF60	M17	Adar1
RAD21	M17	Adar1
RANBP2	M17	Adar1
RBM10	M17	Adar1
RPL18A	M17	Adar1
RPL21	M17	Adar1
RPL3	M17	Adar1
RPS14	Hela	Adar1
RUVBL2	M17	Adar1
SF3B3	M17	Adar1
SFPQ	Hela	Adar1
SIN3B	M17	Adar1
SNRPA1	M17	Adar1
SPTBN1	M17	Adar1
STRBP	Hela	Adar1
STRBP	M17	Adar1
TFIP11	M17	Adar1
TMPO	M17	Adar1
TOP2A	M17	Adar1
TOP2B	M17	Adar1
TRMT1L	Hela	Adar1
TUBAL3	M17	Adar1
WRN	Hela	Adar1
XRN2	Hela	Adar1
ZFR	Hela	Adar1
ZFR	M17	Adar1
ZMYM2	M17	Adar1
ZNF318	M17	Adar1
ZNF638	M17	Adar1
ACIN1	Hela	Adar2
ACTA1	Hela	Adar2
ACTA1	M17	Adar2
