#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A0A0L8FKW5	A0A0L8HPM4	37653.A0A0L8FKW5	37653.A0A0L8HPM4	0	0	0	0	0	0.535	0	0	0.535
A0A0L8GAX7	A0A0L8H9I2	37653.A0A0L8GAX7	37653.A0A0L8H9I2	0	0	0	0	0.217	0	0	0.891	0.911
A0A0L8GAX7	A0A0L8HCC9	37653.A0A0L8GAX7	37653.A0A0L8HCC9	0	0	0	0	0.208	0	0	0.617	0.684
A0A0L8GAX7	A0A0L8HPM4	37653.A0A0L8GAX7	37653.A0A0L8HPM4	0	0	0	0	0	0	0	0.452	0.452
A0A0L8GAX7	A0A0L8HVB5	37653.A0A0L8GAX7	37653.A0A0L8HVB5	0	0	0	0	0.167	0.780	0.862	0.849	0.996
A0A0L8H9I2	A0A0L8GAX7	37653.A0A0L8H9I2	37653.A0A0L8GAX7	0	0	0	0	0.217	0	0	0.891	0.911
A0A0L8H9I2	A0A0L8HCC9	37653.A0A0L8H9I2	37653.A0A0L8HCC9	0	0	0	0	0.244	0	0	0.840	0.874
A0A0L8H9I2	A0A0L8HPM4	37653.A0A0L8H9I2	37653.A0A0L8HPM4	0	0	0	0	0	0	0	0.454	0.454
A0A0L8H9I2	A0A0L8HVB5	37653.A0A0L8H9I2	37653.A0A0L8HVB5	0	0	0	0	0	0	0	0.498	0.498
A0A0L8HCC9	A0A0L8GAX7	37653.A0A0L8HCC9	37653.A0A0L8GAX7	0	0	0	0	0.208	0	0	0.617	0.684
A0A0L8HCC9	A0A0L8H9I2	37653.A0A0L8HCC9	37653.A0A0L8H9I2	0	0	0	0	0.244	0	0	0.840	0.874
A0A0L8HCC9	A0A0L8HFK4	37653.A0A0L8HCC9	37653.A0A0L8HFK4	0	0	0	0	0	0	0	0.615	0.615
A0A0L8HCC9	A0A0L8HPM4	37653.A0A0L8HCC9	37653.A0A0L8HPM4	0	0	0	0.486	0	0.524	0	0.323	0.596
A0A0L8HCC9	A0A0L8HVB5	37653.A0A0L8HCC9	37653.A0A0L8HVB5	0	0	0	0	0.161	0.308	0	0.215	0.504
A0A0L8HFK4	A0A0L8HCC9	37653.A0A0L8HFK4	37653.A0A0L8HCC9	0	0	0	0	0	0	0	0.615	0.615
A0A0L8HFK4	A0A0L8HM87	37653.A0A0L8HFK4	37653.A0A0L8HM87	0	0	0	0	0	0	0.876	0.212	0.898
A0A0L8HFK4	A0A0L8HPM4	37653.A0A0L8HFK4	37653.A0A0L8HPM4	0	0	0	0	0	0	0	0.511	0.511
A0A0L8HM87	A0A0L8HFK4	37653.A0A0L8HM87	37653.A0A0L8HFK4	0	0	0	0	0	0	0.876	0.212	0.898
A0A0L8HM87	A0A0L8HPM4	37653.A0A0L8HM87	37653.A0A0L8HPM4	0	0	0	0	0	0	0.749	0	0.749
A0A0L8HPM4	A0A0L8FKW5	37653.A0A0L8HPM4	37653.A0A0L8FKW5	0	0	0	0	0	0.535	0	0	0.535
A0A0L8HPM4	A0A0L8GAX7	37653.A0A0L8HPM4	37653.A0A0L8GAX7	0	0	0	0	0	0	0	0.452	0.452
A0A0L8HPM4	A0A0L8H9I2	37653.A0A0L8HPM4	37653.A0A0L8H9I2	0	0	0	0	0	0	0	0.454	0.454
A0A0L8HPM4	A0A0L8HCC9	37653.A0A0L8HPM4	37653.A0A0L8HCC9	0	0	0	0.486	0	0.524	0	0.323	0.596
A0A0L8HPM4	A0A0L8HFK4	37653.A0A0L8HPM4	37653.A0A0L8HFK4	0	0	0	0	0	0	0	0.511	0.511
A0A0L8HPM4	A0A0L8HM87	37653.A0A0L8HPM4	37653.A0A0L8HM87	0	0	0	0	0	0	0.749	0	0.749
A0A0L8HPM4	A0A0L8HQ60	37653.A0A0L8HPM4	37653.A0A0L8HQ60	0	0	0	0	0	0.363	0	0.215	0.479
A0A0L8HPM4	A0A0L8HR45	37653.A0A0L8HPM4	37653.A0A0L8HR45	0	0	0	0	0	0.431	0	0	0.431
A0A0L8HPM4	A0A0L8HVB5	37653.A0A0L8HPM4	37653.A0A0L8HVB5	0	0	0	0	0	0.447	0	0.454	0.685
A0A0L8HPM4	A0A0L8IHN7	37653.A0A0L8HPM4	37653.A0A0L8IHN7	0	0	0	0	0	0	0	0.450	0.450
A0A0L8HQ60	A0A0L8HPM4	37653.A0A0L8HQ60	37653.A0A0L8HPM4	0	0	0	0	0	0.363	0	0.215	0.479
A0A0L8HR45	A0A0L8HPM4	37653.A0A0L8HR45	37653.A0A0L8HPM4	0	0	0	0	0	0.431	0	0	0.431
A0A0L8HR45	A0A0L8HVB5	37653.A0A0L8HR45	37653.A0A0L8HVB5	0	0	0	0	0	0.713	0	0	0.713
A0A0L8HVB5	A0A0L8GAX7	37653.A0A0L8HVB5	37653.A0A0L8GAX7	0	0	0	0	0.167	0.780	0.862	0.849	0.996
A0A0L8HVB5	A0A0L8H9I2	37653.A0A0L8HVB5	37653.A0A0L8H9I2	0	0	0	0	0	0	0	0.498	0.498
A0A0L8HVB5	A0A0L8HCC9	37653.A0A0L8HVB5	37653.A0A0L8HCC9	0	0	0	0	0.161	0.308	0	0.215	0.504
