DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,,,,
178f5eba-9a3e-4e21-b563-64cc68a1eb87,316572,OB2017Tank1,8/31/2017 23:55,21.7,21.7° C,100,,,7/21/2017 9:51,23.1
87e57ba0-faf5-493a-8f36-93c03b821dcc,316572,OB2017Tank1,8/31/2017 23:45,21.7,21.7° C,100,,,7/21/2017 9:52,22.2
98f96fff-e154-41f4-9fb8-b5ab25fd80e2,316572,OB2017Tank1,8/31/2017 23:35,21.7,21.7° C,100,,,7/21/2017 9:52,22.6
ee578097-354a-4363-a8a0-19efe8a4d84f,316572,OB2017Tank1,8/31/2017 23:25,21.7,21.7° C,100,,,7/21/2017 9:53,21.9
707eefc6-555c-4771-931e-68eba2bf6518,316572,OB2017Tank1,8/31/2017 23:15,21.8,21.8° C,100,,,7/21/2017 10:03,23
63bbbee3-7738-42a1-8879-0227c5f0244f,316572,OB2017Tank1,8/31/2017 23:05,21.8,21.8° C,100,,,7/21/2017 10:13,23
7e85c405-48ee-4401-93b6-6bf160ac30cf,316572,OB2017Tank1,8/31/2017 22:55,21.8,21.8° C,100,,,7/21/2017 10:23,23
11280409-7c11-4d3f-9cae-31767ca54181,316572,OB2017Tank1,8/31/2017 22:45,21.8,21.8° C,100,,,7/21/2017 10:32,22.9
77d540b6-a606-4955-b47c-3c968c9636be,316572,OB2017Tank1,8/31/2017 22:35,21.8,21.8° C,100,,,7/21/2017 10:42,22.9
1b864ce3-49f5-4e39-9c12-7ed57a5b0617,316572,OB2017Tank1,8/31/2017 22:25,21.8,21.8° C,100,,,7/21/2017 10:52,22.9
b43e143d-6c96-4287-b8b2-779637234d9f,316572,OB2017Tank1,8/31/2017 22:16,21.8,21.8° C,100,,,7/21/2017 11:02,23
715e4d65-2b50-4014-a287-f78233f868e1,316572,OB2017Tank1,8/31/2017 22:06,21.8,21.8° C,100,,,7/21/2017 11:12,22.9
790ce158-5e32-4ea8-ae85-0cefa38c8108,316572,OB2017Tank1,8/31/2017 21:56,21.8,21.8° C,100,,,7/21/2017 11:22,22.9
b2a547d6-a500-4542-951e-94357882820a,316572,OB2017Tank1,8/31/2017 21:46,21.8,21.8° C,100,,,7/21/2017 11:32,22.9
932f43c5-e282-4c9e-9c6e-736972296990,316572,OB2017Tank1,8/31/2017 21:36,21.8,21.8° C,100,,,7/21/2017 11:42,22.9
cba1c65d-d18f-43da-977e-7687f2445be5,316572,OB2017Tank1,8/31/2017 21:26,21.9,21.9° C,100,,,7/21/2017 11:52,22.9
ab4673ea-1ed8-489a-9298-ca7516962c5f,316572,OB2017Tank1,8/31/2017 21:16,21.9,21.9° C,100,,,7/21/2017 12:02,22.9
ce894608-012c-46aa-9f85-d8b291534db2,316572,OB2017Tank1,8/31/2017 21:06,21.9,21.9° C,100,,,7/21/2017 12:11,22.9
f0ea89c9-951f-4daf-a8d9-743ca648df06,316572,OB2017Tank1,8/31/2017 20:56,21.9,21.9° C,100,,,7/21/2017 12:21,22.9
df273acf-3060-4bfb-ba02-b5ce9e39344f,316572,OB2017Tank1,8/31/2017 20:46,21.9,21.9° C,100,,,7/21/2017 12:31,22.9
3da068e3-0317-4764-a366-b9bf4856b0ea,316572,OB2017Tank1,8/31/2017 20:36,21.9,21.9° C,100,,,7/21/2017 12:41,22.9
94264edf-68b0-4dcc-bf29-269a311e84da,316572,OB2017Tank1,8/31/2017 20:27,21.9,21.9° C,100,,,7/21/2017 12:51,22.9
6622ea5c-382b-429c-8992-8665fbc4dedc,316572,OB2017Tank1,8/31/2017 20:17,21.9,21.9° C,100,,,7/21/2017 13:01,22.8
5e2790d1-be57-481e-a3f9-affbb746353c,316572,OB2017Tank1,8/31/2017 20:07,21.9,21.9° C,100,,,7/21/2017 13:11,22.9
