#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A0A0L8FK43	A0A0L8GY90	37653.A0A0L8FK43	37653.A0A0L8GY90	0	0	0	0	0.126	0	0.621	0.216	0.718
A0A0L8FK43	A0A0L8HCC9	37653.A0A0L8FK43	37653.A0A0L8HCC9	0	0	0	0	0.219	0	0.876	0.348	0.931
A0A0L8FK43	A0A0L8I5N4	37653.A0A0L8FK43	37653.A0A0L8I5N4	0	0	0	0	0	0	0	0.449	0.449
A0A0L8GGS1	A0A0L8H7I5	37653.A0A0L8GGS1	37653.A0A0L8H7I5	0	0	0	0	0.222	0	0	0.515	0.607
A0A0L8GGS1	A0A0L8HCC9	37653.A0A0L8GGS1	37653.A0A0L8HCC9	0	0	0	0	0.143	0.319	0	0.883	0.926
A0A0L8GGS1	A0A0L8HJX1	37653.A0A0L8GGS1	37653.A0A0L8HJX1	0	0	0	0	0.192	0.465	0	0.628	0.825
A0A0L8GGS1	A0A0L8HUW5	37653.A0A0L8GGS1	37653.A0A0L8HUW5	0	0	0	0	0.237	0.782	0.890	0.835	0.997
A0A0L8GGS1	A0A0L8I5N4	37653.A0A0L8GGS1	37653.A0A0L8I5N4	0	0	0	0	0	0	0	0.727	0.727
A0A0L8GLQ4	A0A0L8HCC9	37653.A0A0L8GLQ4	37653.A0A0L8HCC9	0	0	0	0	0	0.968	0	0	0.968
A0A0L8GQR8	A0A0L8HCC9	37653.A0A0L8GQR8	37653.A0A0L8HCC9	0	0	0	0	0.220	0	0.888	0.382	0.941
A0A0L8GQR8	A0A0L8HJX1	37653.A0A0L8GQR8	37653.A0A0L8HJX1	0	0	0	0	0.147	0	0.654	0.099	0.711
A0A0L8GQR8	A0A0L8HUW5	37653.A0A0L8GQR8	37653.A0A0L8HUW5	0	0	0	0	0.626	0	0.811	0.214	0.940
A0A0L8GY90	A0A0L8FK43	37653.A0A0L8GY90	37653.A0A0L8FK43	0	0	0	0	0.126	0	0.621	0.216	0.718
A0A0L8GY90	A0A0L8HCC9	37653.A0A0L8GY90	37653.A0A0L8HCC9	0	0	0	0	0.235	0	0.856	0.216	0.906
A0A0L8H7I5	A0A0L8GGS1	37653.A0A0L8H7I5	37653.A0A0L8GGS1	0	0	0	0	0.222	0	0	0.515	0.607
A0A0L8H7I5	A0A0L8HCC9	37653.A0A0L8H7I5	37653.A0A0L8HCC9	0	0	0	0	0.161	0.465	0	0.901	0.952
A0A0L8H7I5	A0A0L8HJX1	37653.A0A0L8H7I5	37653.A0A0L8HJX1	0	0	0	0	0.143	0.609	0	0.129	0.683
A0A0L8H7I5	A0A0L8HUW5	37653.A0A0L8H7I5	37653.A0A0L8HUW5	0	0	0	0	0.217	0.651	0	0.284	0.787
A0A0L8HCC9	A0A0L8FK43	37653.A0A0L8HCC9	37653.A0A0L8FK43	0	0	0	0	0.219	0	0.876	0.348	0.931
A0A0L8HCC9	A0A0L8GGS1	37653.A0A0L8HCC9	37653.A0A0L8GGS1	0	0	0	0	0.143	0.319	0	0.883	0.926
A0A0L8HCC9	A0A0L8GLQ4	37653.A0A0L8HCC9	37653.A0A0L8GLQ4	0	0	0	0	0	0.968	0	0	0.968
A0A0L8HCC9	A0A0L8GQR8	37653.A0A0L8HCC9	37653.A0A0L8GQR8	0	0	0	0	0.220	0	0.888	0.382	0.941
A0A0L8HCC9	A0A0L8GY90	37653.A0A0L8HCC9	37653.A0A0L8GY90	0	0	0	0	0.235	0	0.856	0.216	0.906
A0A0L8HCC9	A0A0L8H7I5	37653.A0A0L8HCC9	37653.A0A0L8H7I5	0	0	0	0	0.161	0.465	0	0.901	0.952
A0A0L8HCC9	A0A0L8HJX1	37653.A0A0L8HCC9	37653.A0A0L8HJX1	0	0	0	0	0.217	0.528	0.884	0.506	0.976
A0A0L8HCC9	A0A0L8HUW5	37653.A0A0L8HCC9	37653.A0A0L8HUW5	0	0	0	0	0.231	0.465	0	0.831	0.924
A0A0L8HCC9	A0A0L8HY34	37653.A0A0L8HCC9	37653.A0A0L8HY34	0	0	0	0	0.231	0.968	0	0	0.974
A0A0L8HCC9	A0A0L8I5N4	37653.A0A0L8HCC9	37653.A0A0L8I5N4	0	0	0	0	0	0	0	0.954	0.954
