#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
317314	103	7514	106617	113348	RP11-61L14.5	-	ADAR	XPO1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	CRM1|emb|exp1	Reconstituted Complex	physical	Poulsen H (2001)	PUBMED:11604520	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	O14980	B3KWD0	NP_003391	-	-	-	-	-	-	Homo sapiens	Homo sapiens
335870	3069	103	109319	106617	-	RP11-61L14.5	HDLBP	ADAR	HBP|PRO2900|VGL	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-Western	physical	Wang Q (2005)	PUBMED:15723802	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00341	A0A024R4E5	NP_001307895|NP_005327|NP_001230829|NP_001307894|NP_001307896|NP_976221	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
504356	155871	103	1205541	106617	HIV1gp5	RP11-61L14.5	tat	ADAR	-	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Reconstituted Complex	physical	Gautier VW (2009)	PUBMED:19454010	11676	9606	High Throughput	-	-	HIV 1: Protein TAT|High Throughput: An in vitro GST-Tat pull-down assay was performed using nuclear extracts from Jurkat cells followed by mass spectrometric analysis to identify interacting proteins.	-	BIOGRID	P04608	-	NP_057853	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Human Immunodeficiency Virus 1	Homo sapiens
570424	10014	103	115331	106617	-	RP11-61L14.5	HDAC5	ADAR	HD5|NY-CO-9	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Greco TM (2011)	PUBMED:21081666	9606	9606	Low Throughput	-	-	Exogenous expression of bait	-	BIOGRID	Q9UQL6	-	NP_005465|NP_001369322|NP_001015053	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	BTO:0000007	HEK-293 cell	cell line	-	-	-	Homo sapiens	Homo sapiens
663348	1994	103	108309	106617	-	RP11-61L14.5	ELAVL1	ADAR	ELAV1|HUR|Hua|MelG	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-RNA	physical	Abdelmohsen K (2009)	PUBMED:19322201	9606	9606	High Throughput	-	-	-	-	BIOGRID	Q15717	-	NP_001410	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	BTO:0000567	HeLa cell	cell line	DOID:3702	cervical adenocarcinoma	-	Homo sapiens	Homo sapiens
669375	3178	103	109420	106617	-	RP11-61L14.5	HNRNPA1	ADAR	ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Close P (2012)	PUBMED:22446626	9606	9606	High Throughput	-	-	figure 1, S2.	-	BIOGRID	P09651	A0A024RB53|A0A024RAZ7	NP_112420|NP_002127	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
686989	8452	103	114030	106617	-	RP11-61L14.5	CUL3	ADAR	CUL-3|PHA2E	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged Cul3|exogenous expression of bait	-	BIOGRID	Q13618	B7Z600|A0A024R475	NP_001244127|NP_001244126|NP_003581	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
690646	55832	103	120937	106617	-	RP11-61L14.5	CAND1	ADAR	TIP120|TIP120A	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Bennett EJ (2010)	PUBMED:21145461	9606	9606	High Throughput	-	-	All data was filtered to a 1% false discovery rate (peptide level) prior to analysis using CompPASS to identify high confidence candidate interacting proteins|TAP-tagged CAND1|exogenous expression of bait	-	BIOGRID	Q86VP6	-	NP_060918|NP_001316604|NP_001316605|NP_001316603	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	BTO:0002181	HEK-293T cell	cell line	-	-	-	Homo sapiens	Homo sapiens
747816	10521	103	115776	106617	RP3-434P1.1	RP11-61L14.5	DDX17	ADAR	P72|RH70	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.901	-	Denoised score >= 0.75	-	BIOGRID	Q92841	Q59F66	NP_001091974|NP_006377	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753231	103	4670	106617	110751	RP11-61L14.5	-	ADAR	HNRNPM	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.768	-	Denoised score >= 0.75	-	BIOGRID	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	P52272	Q59ES8	NP_112480|NP_001284347|NP_005959	-	-	-	-	-	-	Homo sapiens	Homo sapiens
824556	5976	103	111908	106617	-	RP11-61L14.5	UPF1	ADAR	HUPF1|NORF1|RENT1|pNORF1|smg-2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Co-fractionation	physical	Agranat L (2008)	PUBMED:18362360	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92900	B3KY55|A0A024R7L8|A0A024R7L5	NP_002902|NP_001284478	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
824559	6638	103	112522	106617	-	RP11-61L14.5	SNRPN	ADAR	HCERN3|PWCR|RT-LI|SM-D|SMN|SNRNP-N|SNURF-SNRPN|sm-N	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-Western	physical	Agranat L (2008)	PUBMED:18362360	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P63162	X5DP00	NP_073716|NP_073717|NP_073718|NP_073719|NP_001336383|NP_001336385|NP_001336384|NP_001336387|NP_001336386|NP_001336389|NP_001336388|NP_001365185|NP_001365184|NP_001365183|NP_001365182|NP_001365181|NP_001365180|NP_001365178|NP_001365186|NP_001336394|NP_001336392|NP_001336393|NP_001336390|NP_001336391|NP_003088	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
824560	6628	103	112512	106617	-	RP11-61L14.5	SNRPB	ADAR	COD|SNRPB1|Sm-B/B|SmB/B|SmB/SmB|snRNP-B	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-Western	physical	Agranat L (2008)	PUBMED:18362360	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P14678	Q66K91	NP_003082|NP_937859	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
824561	5976	103	111908	106617	-	RP11-61L14.5	UPF1	ADAR	HUPF1|NORF1|RENT1|pNORF1|smg-2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-Western	physical	Agranat L (2008)	PUBMED:18362360	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92900	B3KY55|A0A024R7L8|A0A024R7L5	NP_002902|NP_001284478	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
824562	103	5976	106617	111908	RP11-61L14.5	-	ADAR	UPF1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	HUPF1|NORF1|RENT1|pNORF1|smg-2	Affinity Capture-Western	physical	Agranat L (2008)	PUBMED:18362360	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	Q92900	B3KY55|A0A024R7L8|A0A024R7L5	NP_002902|NP_001284478	-	-	-	-	-	-	Homo sapiens	Homo sapiens
837729	1660	103	108025	106617	-	RP11-61L14.5	DHX9	ADAR	DDX9|LKP|NDH2|NDHII|RHA	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-Western	physical	Chu L (2012)	PUBMED:22751105	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q08211	B3KU66	NP_001348	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	BTO:0002416	NCI-H929 cell	cell line	DOID:0070004	myeloma	-	Homo sapiens	Homo sapiens
857420	7514	103	113348	106617	-	RP11-61L14.5	XPO1	ADAR	CRM1|emb|exp1	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Protein-peptide	physical	Xu D (2012)	PUBMED:22833565	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O14980	B3KWD0	NP_003391	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
872086	9734	103	115083	106617	-	RP11-61L14.5	HDAC9	ADAR	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Joshi P (2013)	PUBMED:23752268	9606	9606	High Throughput	0.94	-	Prey proteins with a SAINT score of >= 0.90 in HDAC1 and HDAC2, >= and 0.75 in HDAC3-10 were considered putative protein interactions, while prey proteins with SAINT scores of > 0.95 in both HDAC11 biological replicates were considered as putative interactions.	-	BIOGRID	Q9UKV0	B7Z3P7	NP_848512|NP_848510|NP_055522|NP_478056|NP_001191073|NP_001191076|NP_001191077|NP_001191074|NP_001191075	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
891741	103	7052	106617	112910	RP11-61L14.5	RP5-1054A22.2	ADAR	TGM2	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	G-ALPHA-h|GNAH|HEL-S-45|TG2|TGC	Two-hybrid	physical	Wang J (2011)	PUBMED:21988832	9606	9606	High Throughput	-	-	-	-	BIOGRID	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	P21980	V9HWG3	NP_945189|NP_001310245|NP_001310246|NP_001310247|NP_004604	-	-	-	-	-	-	Homo sapiens	Homo sapiens
904905	7329	103	113177	106617	LA16c-358B7.1	RP11-61L14.5	UBE2I	ADAR	C358B7.1|P18|UBC9	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Biochemical Activity	physical	Desterro JM (2005)	PUBMED:16120648	9606	9606	Low Throughput	-	Sumoylation	-	-	BIOGRID	P63279	B0QYN7|A8K503	NP_003336|NP_919236|NP_919237|NP_919235	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
912705	26270	103	117654	106617	RP3-330O12.3	RP11-61L14.5	FBXO6	ADAR	FBG2|FBS2|FBX6|Fbx6b	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Liu B (2012)	PUBMED:22268729	9606	9606	High Throughput	-	-	exogenous expression of bait	-	BIOGRID	Q9NRD1	-	NP_060908	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	BTO:0000661|DOID:715	JURKAT cell|T-cell leukemia	cell line|disease	-|-	-|-	-|-	Homo sapiens	Homo sapiens
913173	23435	103	117003	106617	RP4-635E18.2	RP11-61L14.5	TARDBP	ADAR	ALS10|TDP-43	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	Affinity Capture-MS	physical	Freibaum BD (2010)	PUBMED:20020773	9606	9606	High Throughput	40.0	-	FLAG-tagged interactor A|score=co-IP spectra/negative control spectra	-	BIOGRID	Q13148	A0A024R4E2|Q9H256	NP_031401	P55265	-	NP_001351975|NP_001180424|NP_001020278|NP_056656|NP_001351974|NP_001351977|NP_001351976|NP_056655|NP_001102|NP_001351978	-	-	-	-	-	-	Homo sapiens	Homo sapiens
