#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAR	OAS3	9606.ENSP00000357459	9606.ENSP00000228928	0	0	0	0	0.201	0.327	0.900	0.547	0.972
ADAR	SAMHD1	9606.ENSP00000357459	9606.ENSP00000262878	0	0	0	0	0.082	0	0.900	0.711	0.971
ADAR	STAT2	9606.ENSP00000357459	9606.ENSP00000315768	0	0	0	0	0.388	0	0.900	0.422	0.961
ADAR	OAS2	9606.ENSP00000357459	9606.ENSP00000342278	0	0	0	0	0.180	0.327	0.900	0.551	0.971
ADAR	IRF7	9606.ENSP00000357459	9606.ENSP00000380697	0	0	0	0	0.300	0	0.900	0.504	0.962
ADAR	UPF1	9606.ENSP00000357459	9606.ENSP00000470142	0	0	0	0	0.088	0.349	0.900	0.505	0.966
ADAR	IFIT3	9606.ENSP00000357459	9606.ENSP00000360883	0	0	0	0	0.249	0.394	0.900	0.342	0.966
ADAR	IFIT1	9606.ENSP00000357459	9606.ENSP00000360869	0	0	0	0	0.163	0.361	0.900	0.477	0.968
ADAR	ELAVL1	9606.ENSP00000357459	9606.ENSP00000385269	0	0	0	0	0.170	0.161	0	0.965	0.974
ADAR	DICER1	9606.ENSP00000357459	9606.ENSP00000437256	0	0	0	0	0.062	0.270	0	0.989	0.992
DICER1	ADAR	9606.ENSP00000437256	9606.ENSP00000357459	0	0	0	0	0.062	0.270	0	0.989	0.992
DICER1	ELAVL1	9606.ENSP00000437256	9606.ENSP00000385269	0	0	0	0	0	0	0	0.648	0.648
DICER1	UPF1	9606.ENSP00000437256	9606.ENSP00000470142	0	0	0	0	0.060	0.343	0	0.576	0.716
ELAVL1	ADAR	9606.ENSP00000385269	9606.ENSP00000357459	0	0	0	0	0.170	0.161	0	0.965	0.974
ELAVL1	DICER1	9606.ENSP00000385269	9606.ENSP00000437256	0	0	0	0	0	0	0	0.648	0.648
ELAVL1	UPF1	9606.ENSP00000385269	9606.ENSP00000470142	0	0	0	0	0.318	0.216	0	0.481	0.698
IFIT1	OAS3	9606.ENSP00000360869	9606.ENSP00000228928	0	0	0	0	0.785	0.256	0.900	0.716	0.994
IFIT1	SAMHD1	9606.ENSP00000360869	9606.ENSP00000262878	0	0	0	0	0.066	0	0.900	0.482	0.947
IFIT1	STAT2	9606.ENSP00000360869	9606.ENSP00000315768	0	0	0	0	0.170	0	0.900	0.699	0.972
IFIT1	OAS2	9606.ENSP00000360869	9606.ENSP00000342278	0	0	0	0	0.836	0.256	0.900	0.763	0.996
IFIT1	ADAR	9606.ENSP00000360869	9606.ENSP00000357459	0	0	0	0	0.163	0.361	0.900	0.477	0.968
IFIT1	IRF7	9606.ENSP00000360869	9606.ENSP00000380697	0	0	0	0	0.705	0	0.900	0.795	0.993
IFIT1	IFIT3	9606.ENSP00000360869	9606.ENSP00000360883	0	0	0	0.898	0.999	0.974	0.900	0.965	0.999
IFIT3	OAS3	9606.ENSP00000360883	9606.ENSP00000228928	0	0	0	0	0.789	0.329	0.900	0.697	0.995
IFIT3	SAMHD1	9606.ENSP00000360883	9606.ENSP00000262878	0	0	0	0	0.161	0	0.900	0.338	0.939
IFIT3	STAT2	9606.ENSP00000360883	9606.ENSP00000315768	0	0	0	0	0.349	0	0.900	0.635	0.974
IFIT3	OAS2	9606.ENSP00000360883	9606.ENSP00000342278	0	0	0	0	0.817	0.329	0.900	0.702	0.995
IFIT3	ADAR	9606.ENSP00000360883	9606.ENSP00000357459	0	0	0	0	0.249	0.394	0.900	0.342	0.966
IFIT3	IFIT1	9606.ENSP00000360883	9606.ENSP00000360869	0	0	0	0.898	0.999	0.974	0.900	0.965	0.999
IFIT3	IRF7	9606.ENSP00000360883	9606.ENSP00000380697	0	0	0	0	0.854	0	0.900	0.683	0.995
IRF7	OAS3	9606.ENSP00000380697	9606.ENSP00000228928	0	0	0	0	0.634	0	0.900	0.635	0.985
IRF7	SAMHD1	9606.ENSP00000380697	9606.ENSP00000262878	0	0	0	0	0.111	0	0.900	0.608	0.962
IRF7	STAT2	9606.ENSP00000380697	9606.ENSP00000315768	0	0	0	0	0.546	0	0.900	0.811	0.990
IRF7	OAS2	9606.ENSP00000380697	9606.ENSP00000342278	0	0	0	0	0.735	0	0.900	0.699	0.991
IRF7	ADAR	9606.ENSP00000380697	9606.ENSP00000357459	0	0	0	0	0.300	0	0.900	0.504	0.962
IRF7	IFIT1	9606.ENSP00000380697	9606.ENSP00000360869	0	0	0	0	0.705	0	0.900	0.795	0.993
IRF7	IFIT3	9606.ENSP00000380697	9606.ENSP00000360883	0	0	0	0	0.854	0	0.900	0.683	0.995
OAS2	OAS3	9606.ENSP00000342278	9606.ENSP00000228928	0	0	0	0.913	0.780	0	0.800	0.950	0.957
OAS2	SAMHD1	9606.ENSP00000342278	9606.ENSP00000262878	0	0	0	0	0.133	0	0.900	0.325	0.936
OAS2	STAT2	9606.ENSP00000342278	9606.ENSP00000315768	0	0	0	0	0.334	0	0.900	0.615	0.972
OAS2	ADAR	9606.ENSP00000342278	9606.ENSP00000357459	0	0	0	0	0.180	0.327	0.900	0.551	0.971
OAS2	IRF7	9606.ENSP00000342278	9606.ENSP00000380697	0	0	0	0	0.735	0	0.900	0.699	0.991
OAS2	IFIT3	9606.ENSP00000342278	9606.ENSP00000360883	0	0	0	0	0.817	0.329	0.900	0.702	0.995
OAS2	IFIT1	9606.ENSP00000342278	9606.ENSP00000360869	0	0	0	0	0.836	0.256	0.900	0.763	0.996
OAS3	SAMHD1	9606.ENSP00000228928	9606.ENSP00000262878	0	0	0	0	0.088	0	0.900	0.320	0.932
OAS3	OAS2	9606.ENSP00000228928	9606.ENSP00000342278	0	0	0	0.913	0.780	0	0.800	0.950	0.957
OAS3	STAT2	9606.ENSP00000228928	9606.ENSP00000315768	0	0	0	0	0.174	0	0.900	0.556	0.960
OAS3	ADAR	9606.ENSP00000228928	9606.ENSP00000357459	0	0	0	0	0.201	0.327	0.900	0.547	0.972
OAS3	IRF7	9606.ENSP00000228928	9606.ENSP00000380697	0	0	0	0	0.634	0	0.900	0.635	0.985
OAS3	IFIT1	9606.ENSP00000228928	9606.ENSP00000360869	0	0	0	0	0.785	0.256	0.900	0.716	0.994
OAS3	IFIT3	9606.ENSP00000228928	9606.ENSP00000360883	0	0	0	0	0.789	0.329	0.900	0.697	0.995
SAMHD1	OAS3	9606.ENSP00000262878	9606.ENSP00000228928	0	0	0	0	0.088	0	0.900	0.320	0.932
SAMHD1	STAT2	9606.ENSP00000262878	9606.ENSP00000315768	0	0	0	0	0.082	0	0.900	0.338	0.933
SAMHD1	OAS2	9606.ENSP00000262878	9606.ENSP00000342278	0	0	0	0	0.133	0	0.900	0.325	0.936
SAMHD1	IFIT3	9606.ENSP00000262878	9606.ENSP00000360883	0	0	0	0	0.161	0	0.900	0.338	0.939
SAMHD1	IFIT1	9606.ENSP00000262878	9606.ENSP00000360869	0	0	0	0	0.066	0	0.900	0.482	0.947
SAMHD1	IRF7	9606.ENSP00000262878	9606.ENSP00000380697	0	0	0	0	0.111	0	0.900	0.608	0.962
SAMHD1	ADAR	9606.ENSP00000262878	9606.ENSP00000357459	0	0	0	0	0.082	0	0.900	0.711	0.971
STAT2	OAS3	9606.ENSP00000315768	9606.ENSP00000228928	0	0	0	0	0.174	0	0.900	0.556	0.960
STAT2	SAMHD1	9606.ENSP00000315768	9606.ENSP00000262878	0	0	0	0	0.082	0	0.900	0.338	0.933
STAT2	ADAR	9606.ENSP00000315768	9606.ENSP00000357459	0	0	0	0	0.388	0	0.900	0.422	0.961
STAT2	OAS2	9606.ENSP00000315768	9606.ENSP00000342278	0	0	0	0	0.334	0	0.900	0.615	0.972
STAT2	IFIT1	9606.ENSP00000315768	9606.ENSP00000360869	0	0	0	0	0.170	0	0.900	0.699	0.972
STAT2	IFIT3	9606.ENSP00000315768	9606.ENSP00000360883	0	0	0	0	0.349	0	0.900	0.635	0.974
STAT2	IRF7	9606.ENSP00000315768	9606.ENSP00000380697	0	0	0	0	0.546	0	0.900	0.811	0.990
UPF1	ADAR	9606.ENSP00000470142	9606.ENSP00000357459	0	0	0	0	0.088	0.349	0.900	0.505	0.966
UPF1	ELAVL1	9606.ENSP00000470142	9606.ENSP00000385269	0	0	0	0	0.318	0.216	0	0.481	0.698
UPF1	DICER1	9606.ENSP00000470142	9606.ENSP00000437256	0	0	0	0	0.060	0.343	0	0.576	0.716
