Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1251.14	0.506193	160.016
Ocbimv22000002m	309	130.08	0.334688	11
Ocbimv22000003m	3309	3108.14	0.883723	694
Ocbimv22000007m	1500	1299.14	12.2774	4030
Ocbimv22000008m	3468	3267.14	13.0468	10770
Ocbimv22000012m	285	110.852	103.577	2901
Ocbimv22000013m	240	77.4729	0.227083	4.44506
Ocbimv22000014m	129	20.3196	0	0
Ocbimv22000015m	171	35.5933	159.344	1433
Ocbimv22000021m	5586	5385.14	8.18371	11135
Ocbimv22000023m	2445	2244.14	0.0917087	52
Ocbimv22000024m	783	582.833	0.0271627	4
Ocbimv22000025m	297	120.347	0.343873	10.4562
Ocbimv22000026m	276	103.892	0.268222	7.04077
Ocbimv22000027m	300	122.756	0	0
Ocbimv22000028m	153	27.6068	63.7131	444.414
Ocbimv22000029m	210	57.5125	0	0
Ocbimv22000030m	201	51.972	0	0
Ocbimv22000031m	561	362.764	0.391436	35.878
Ocbimv22000033m	177	38.6063	9.84169	96
Ocbimv22000034m	543	345.175	0.0343985	3
Ocbimv22000035m	1161	960.138	0.262401	63.6565
Ocbimv22000036m	750	549.959	0	0
Ocbimv22000038m	390	200.281	0	0
Ocbimv22000039m	258	90.3837	0	0
Ocbimv22000040m	528	330.567	23.4069	1955
Ocbimv22000041m	696	496.19	58.547	7340
Ocbimv22000042m	393	203.012	103.853	5327
Ocbimv22000043m	474	278.581	19.1796	1350
Ocbimv22000044m	480	284.318	16.9551	1218
Ocbimv22000046m	267	97.068	56.3901	1383
Ocbimv22000047m	348	163.009	220.073	9064
Ocbimv22000048m	2496	2295.14	5.80447	3366
Ocbimv22000052m	1908	1707.14	0.739709	319.06
Ocbimv22000054m	288	113.215	0	0
Ocbimv22000055m	2004	1803.14	0.463138	211
Ocbimv22000056m	603	404.05	0.469991	47.9808
Ocbimv22000057m	1068	867.138	4.5186	990
Ocbimv22000058m	216	61.3115	0	0
Ocbimv22000059m	525	327.653	0	0
Ocbimv22000060m	1707	1506.14	0.0210224	8
Ocbimv22000061m	231	71.2575	0.166628	3
Ocbimv22000062m	222	65.2147	1.39585	23
Ocbimv22000063m	2604	2403.14	9.073	5509
Ocbimv22000064m	462	267.127	13.2892	896.934
Ocbimv22000065m	312	132.542	1.76848	59.2241
Ocbimv22000066m	207	55.6265	0.214946	3.02102
Ocbimv22000067m	423	230.538	0.15451	9
