interactor_sp_ID	interactor_name	Ob_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj
Q9UKV3	ACIN1	NA	NA	NA	NA	NA	NA
Q90X97	ACTA1	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
P62739	ACTA2	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
P22132	ACTB	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
Q562R1	ACTBL2	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
Q3ZC07	ACTC1	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
P63256	ACTG1	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
Q5E9B5	ACTG2	Ocbimv22013417m	651499.887470597	-0.0121790809405839	0.225298954904691	0.875689228832985	0.957468987962328
A8MUL3	ADARB2-AS1	NA	NA	NA	NA	NA	NA
P78563	ADARB1	Ocbimv22009676m	10668.3755155232	0.134125117390573	0.180937047686278	0.298509494535915	0.621580872800524
P78563	ADARB1	Ocbimv22009676m	10668.3755155232	0.134125117390573	0.180937047686278	0.298509494535915	0.621580872800524
A8MUL3	ADARB2-AS1	NA	NA	NA	NA	NA	NA
Q8WYP5	AHCTF1	NA	NA	NA	NA	NA	NA
Q8IVF2	AHNAK2	NA	NA	NA	NA	NA	NA
O95831	AIFM1	Ocbimv22010376m	2639.13572034914	0.229521053428668	0.219399897142801	0.10686075001926	0.370428720306323
Q01484	ANK2	NA	NA	NA	NA	NA	NA
Q9NQW6	ANLN	NA	NA	NA	NA	NA	NA
Q6FNQ2	AQR1	NA	NA	NA	NA	NA	NA
Q13733	ATP1A4	Ocbimv22028074m	52504.0668331343	-0.14991846019637	0.199724097838471	0.255072036357168	0.577035809339389
P43583	BLM10	NA	NA	NA	NA	NA	NA
Q12830	BPTF	NA	NA	NA	NA	NA	NA
P45973	CBX5	Ocbimv22024787m	6495.01334877827	-0.208716190511408	0.174449281880499	0.109664963344864	0.376266569881083
Q8N163	CCAR2	NA	NA	NA	NA	NA	NA
Q6T8E9	CCNT1	NA	NA	NA	NA	NA	NA
A8MTT3	CEBPZOS	NA	NA	NA	NA	NA	NA
Q12873	CHD3	Ocbimv22018363m	NA	NA	NA	NA	NA
Q12873	CHD3	Ocbimv22018363m	NA	NA	NA	NA	NA
Q14839	CHD4	Ocbimv22018363m	NA	NA	NA	NA	NA
Q14839	CHD4	Ocbimv22018363m	NA	NA	NA	NA	NA
Q8TDI0	CHD5	Ocbimv22018363m	NA	NA	NA	NA	NA
Q9HCK8	CHD8	Ocbimv22021132m	4709.81494225849	1.15899291171421	0.271742312506584	1.21345931534199e-06	8.07551450495399e-05
A5PK45	COLGALT1	Ocbimv22039067m	214.673142370516	-0.516512787218221	0.394208820292955	0.0150588868126251	0.110297359989357
Q9BR76	CORO1B	Ocbimv22010573m	21557.0656799974	-0.312485499281431	0.307727290447928	0.0546276084429167	0.252155607301453
Q0P5D2	CPSF6	NA	NA	NA	NA	NA	NA
Q2TBE0	CWF19L2	Ocbimv22030496m	3633.28195891113	-0.149833246816755	0.173343736151697	0.241752315946099	0.562236782203275
A8MPP1	DDX11L8	Ocbimv22028122m	282.484179497372	-0.334558999423789	0.263412462503743	0.0414644444803946	0.213239118247709
Q5ZJF6	DDX10	Ocbimv22036413m	4341.71300884066	0.3801060303981	0.138726447439521	0.0015826542307402	0.022273194228826
Q9NR30	DDX21	Ocbimv22008502m	14994.3155504649	0.566711498081297	0.19200048781608	0.000409428193753179	0.00796662754201629
Q9NR30	DDX21	Ocbimv22008502m	14994.3155504649	0.566711498081297	0.19200048781608	0.000409428193753179	0.00796662754201629
O15523	DDX3Y	Ocbimv22034343m	10022.7399759485	0.466996857519765	0.134200098788467	9.25471290117961e-05	0.00248468348175628
Q7L014	DDX46	Ocbimv22009429m	14516.0235278066	0.0511290922595113	0.123712622630699	0.635582119178931	0.851313320178667
Q9BQ39	DDX50	Ocbimv22008502m	14994.3155504649	0.566711498081297	0.19200048781608	0.000409428193753179	0.00796662754201629
Q9BQ39	DDX50	Ocbimv22008502m	14994.3155504649	0.566711498081297	0.19200048781608	0.000409428193753179	0.00796662754201629
Q2NL08	DDX55	Ocbimv22030685m	620.88782080383	0.403020045326222	0.158278743473536	0.00242360729972925	0.0306943120181599
O43143	DHX15	Ocbimv22033453m	20122.7748621152	0.195457127434809	0.200800296605061	0.164316732766671	0.462504958535019
Q9BTC0	DIDO1	NA	NA	NA	NA	NA	NA
P68103	EEF1A1	Ocbimv22037527m	630800.454048007	0.0290748547972444	0.126741161913924	0.790262000747284	0.924985411835444
Q32PH8	EEF1A2	Ocbimv22037527m	630800.454048007	0.0290748547972444	0.126741161913924	0.790262000747284	0.924985411835444
P24534	EEF1B2	Ocbimv22008458m	21513.7880950832	0.410586145074755	0.198671402078892	0.00748971211565799	0.0694959575032955
Q658K8	EEF1DP3	NA	NA	NA	NA	NA	NA
A4FUD3	EFTUD2	Ocbimv22002198m	4391.40639881218	0.218160979299838	0.157935245175738	0.0795325101853551	0.313212678283345
Q14152	EIF3A	Ocbimv22036223m	38927.2737025817	0.19866080856606	0.202233271024878	0.161395110161109	0.458434248380916
Q3SYW6	EIF3C	Ocbimv22029161m	26016.0148597508	0.375055910719882	0.154705999396227	0.00387782340571433	0.0432663278129858
B5ME19	EIF3CL	Ocbimv22029161m	26016.0148597508	0.375055910719882	0.154705999396227	0.00387782340571433	0.0432663278129858
Q15717	ELAVL1	Ocbimv22038455m	1447.88099488282	-0.525775110205178	0.26584469811745	0.00535730723312676	0.0545139337169628
Q15717	ELAVL1	Ocbimv22038455m	1447.88099488282	-0.525775110205178	0.26584469811745	0.00535730723312676	0.0545139337169628
Q14576	ELAVL3	Ocbimv22038455m	1447.88099488282	-0.525775110205178	0.26584469811745	0.00535730723312676	0.0545139337169628
P26378	ELAVL4	Ocbimv22038455m	1447.88099488282	-0.525775110205178	0.26584469811745	0.00535730723312676	0.0545139337169628
Q92979	EMG1	Ocbimv22038043m	1044.71306811709	0.0839551417701948	0.149949205375471	0.481169684409789	0.760247489252872
Q6ZTU2	EP400P1	NA	NA	NA	NA	NA	NA
A0FGR8	ESYT2	Ocbimv22037831m	53244.6209057392	-0.163878215313994	0.17490969726929	0.204301582749705	0.51595612283616
Q01780	EXOSC10	Ocbimv22029775m	8792.12412931985	0.346589562486964	0.153151441607106	0.00561510232537675	0.0562646812198706
B0DSN9	FEN11	Ocbimv22005800m	2702.02633700032	-0.0866180593928369	0.189123936638852	0.489280997241361	0.765811066072748
P21333	FLNA	Ocbimv22024963m	NA	NA	NA	NA	NA
Q5ZKM1	FTSJ3	NA	NA	NA	NA	NA	NA
