#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
558080	104	5300	106618	111317	-	-	ADARB1	PIN1	ADAR2|DRABA2|DRADA2|RED1	DOD|UBL5	Affinity Capture-Western	physical	Marcucci R (2011)	PUBMED:21847096	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q13526	-	NP_006212	-	-	-	-	-	-	Homo sapiens	Homo sapiens
558081	5300	104	111317	106618	-	-	PIN1	ADARB1	DOD|UBL5	ADAR2|DRABA2|DRADA2|RED1	Reconstituted Complex	physical	Marcucci R (2011)	PUBMED:21847096	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13526	-	NP_006212	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
558082	104	11060	106618	116244	-	-	ADARB1	WWP2	ADAR2|DRABA2|DRADA2|RED1	AIP2|WWp2-like	Affinity Capture-Western	physical	Marcucci R (2011)	PUBMED:21847096	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	O00308	A0A024R711|B4DHF6	NP_001257383|NP_008945|NP_955456|NP_001257382|NP_001257384	-	-	-	-	-	-	Homo sapiens	Homo sapiens
565630	5516	104	111508	106618	-	-	PPP2CB	ADARB1	PP2Abeta|PP2CB	ADAR2|DRABA2|DRADA2|RED1	Affinity Capture-MS	physical	Glatter T (2009)	PUBMED:19156129	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P62714	-	NP_001009552	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	-	-	-	-	-	-	Homo sapiens	Homo sapiens
738324	104	351	106618	106848	-	-	ADARB1	APP	ADAR2|DRABA2|DRADA2|RED1	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	Reconstituted Complex	physical	Olah J (2011)	PUBMED:21832049	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	P05067	B4DGD0|E9PG40|B4DJT9	NP_958817|NP_958816|NP_001191230|NP_001191231|NP_001191232|NP_000475|NP_001372182|NP_001129488|NP_001129603|NP_001129601|NP_001129602	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941521	104	55299	106618	120586	-	-	ADARB1	BRIX1	ADAR2|DRABA2|DRADA2|RED1	BRIX|BXDC2	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q8TDN6	-	NP_060791	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941522	104	79169	106618	122586	-	-	ADARB1	C1orf35	ADAR2|DRABA2|DRADA2|RED1	MMTAG2|hMMTAG2	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q9BU76	-	NP_077295	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941523	104	84310	106618	124036	-	FP15621	ADARB1	C7orf50	ADAR2|DRABA2|DRADA2|RED1	YCR016W	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q9BRJ6	-	NP_001127868|NP_115726|NP_001127867	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941524	104	115098	106618	125411	-	-	ADARB1	CCDC124	ADAR2|DRABA2|DRADA2|RED1	-	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q96CT7	A0A024R7M8	NP_001129675|NP_612451	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941525	104	10969	106618	116166	-	RP5-1034F7.2	ADARB1	EBNA1BP2	ADAR2|DRABA2|DRADA2|RED1	EBP2|NOBP|P40	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q99848	H7C2Q8|Q6IB29	NP_006815|NP_001153408	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941526	104	7866	106618	113616	-	-	ADARB1	IFRD2	ADAR2|DRABA2|DRADA2|RED1	IFNRP|SKMc15|SM15	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q12894	-	NP_006755	-	-	-	-	-	-	Homo sapiens	Homo sapiens
941527	104	84365	106618	124066	-	-	ADARB1	NIFK	ADAR2|DRABA2|DRADA2|RED1	MKI67IP|Nopp34	Affinity Capture-MS	physical	Li S (2014)	PUBMED:24778252	9606	9606	High Throughput	-	-	-	-	BIOGRID	P78563	Q4AE77	NP_001153702|NP_056649|NP_001103|NP_056648	Q9BYG3	-	NP_115766	-	-	-	-	-	-	Homo sapiens	Homo sapiens
