dataset	BioGRID_Interaction_ID	A	B	Experimental_system	Author	PubMed_ID	A_sp_ID	B_sp_ID	A_species	B_species	interactor_sp_ID	interactor_name	Ob_ID	baseMean	log2FoldChange	lfcSE	pvalue	padj
BioGRID	335870	HDLBP	ADAR	Affinity Capture-Western	Wang Q (2005)	PUBMED:15723802	Q00341	P55265	Homo sapiens	Homo sapiens	Q00341	HDLBP	Ocbimv22021537m	8382.54922267512	0.0429390176441418	0.197034212706799	0.702449538564362	0.884032592833722
BioGRID	570424	HDAC5	ADAR	Affinity Capture-MS	Greco TM (2011)	PUBMED:21081666	Q9UQL6	P55265	Homo sapiens	Homo sapiens	Q9UQL6	HDAC5	NA	NA	NA	NA	NA	NA
BioGRID	663348	ELAVL1	ADAR	Affinity Capture-RNA	Abdelmohsen K (2009)	PUBMED:19322201	Q15717	P55265	Homo sapiens	Homo sapiens	Q15717	ELAVL1	Ocbimv22038455m	1447.88099488282	-0.525775110205178	0.26584469811745	0.00535730723312676	0.0545139337169628
BioGRID	663348	ELAVL1	ADAR	Affinity Capture-RNA	Abdelmohsen K (2009)	PUBMED:19322201	Q15717	P55265	Homo sapiens	Homo sapiens	Q15717	ELAVL1	Ocbimv22038455m	1447.88099488282	-0.525775110205178	0.26584469811745	0.00535730723312676	0.0545139337169628
BioGRID	669375	HNRNPA1	ADAR	Affinity Capture-MS	Close P (2012)	PUBMED:22446626	P09651	P55265	Homo sapiens	Homo sapiens	P09651	HNRNPA1	NA	NA	NA	NA	NA	NA
BioGRID	686989	CUL3	ADAR	Affinity Capture-MS	Bennett EJ (2010)	PUBMED:21145461	Q13618	P55265	Homo sapiens	Homo sapiens	Q13618	CUL3	NA	NA	NA	NA	NA	NA
BioGRID	690646	CAND1	ADAR	Affinity Capture-MS	Bennett EJ (2010)	PUBMED:21145461	Q86VP6	P55265	Homo sapiens	Homo sapiens	Q86VP6	CAND1	Ocbimv22038026m	23303.4111592783	-0.0323966078866708	0.166313803146579	0.748614527952554	0.904769612165898
BioGRID	824559	SNRPN	ADAR	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	P63162	P55265	Homo sapiens	Homo sapiens	P63162	SNRPN	Ocbimv22036307m	5771.67303576643	0.620284772816844	0.231651974596236	0.000604965032580809	0.0108314075662009
BioGRID	824560	SNRPB	ADAR	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	P14678	P55265	Homo sapiens	Homo sapiens	P14678	SNRPB	Ocbimv22036307m	5771.67303576643	0.620284772816844	0.231651974596236	0.000604965032580809	0.0108314075662009
BioGRID	824561	UPF1	ADAR	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	Q92900	P55265	Homo sapiens	Homo sapiens	Q92900	UPF1	Ocbimv22013075m	6798.07551588442	-0.151528119863533	0.192370252115896	0.250073315931978	0.571408110426158
BioGRID	824562	ADAR	UPF1	Affinity Capture-Western	Agranat L (2008)	PUBMED:18362360	P55265	Q92900	Homo sapiens	Homo sapiens	Q92900	UPF1	Ocbimv22013075m	6798.07551588442	-0.151528119863533	0.192370252115896	0.250073315931978	0.571408110426158
BioGRID	837729	DHX9	ADAR	Affinity Capture-Western	Chu L (2012)	PUBMED:22751105	Q08211	P55265	Homo sapiens	Homo sapiens	Q08211	DHX9	Ocbimv22005389m	NA	NA	NA	NA	NA
BioGRID	872086	HDAC9	ADAR	Affinity Capture-MS	Joshi P (2013)	PUBMED:23752268	Q9UKV0	P55265	Homo sapiens	Homo sapiens	Q9UKV0	HDAC9	Ocbimv22025955m	1716.86377812286	-0.19400282854875	0.250847193005877	0.155580887066948	0.451043477904067
BioGRID	912705	FBXO6	ADAR	Affinity Capture-MS	Liu B (2012)	PUBMED:22268729	Q9NRD1	P55265	Homo sapiens	Homo sapiens	Q9NRD1	FBXO6	Ocbimv22024709m	26.9535268172079	-0.00996525447247388	0.22294950378707	0.90796216903763	0.969658224899682
BioGRID	913173	TARDBP	ADAR	Affinity Capture-MS	Freibaum BD (2010)	PUBMED:20020773	Q13148	P55265	Homo sapiens	Homo sapiens	Q13148	TARDBP	Ocbimv22016252m	28489.2480366066	0.557534860654268	0.169921778933497	0.000161835374685334	0.00388639044042219
BioGRID	934433	RPA1	ADAR	Affinity Capture-MS	Marechal A (2014)	PUBMED:24332808	P27694	P55265	Homo sapiens	Homo sapiens	P27694	RPA1	Ocbimv22031656m	5134.86399463055	0.018316835922752	0.120036652483369	0.864340753762843	0.95379870291997
BioGRID	934450	RPA2	ADAR	Affinity Capture-MS	Marechal A (2014)	PUBMED:24332808	P15927	P55265	Homo sapiens	Homo sapiens	P15927	RPA2	Ocbimv22017318m	1855.47482741207	0.173805368112043	0.149357378891257	0.149788145246894	0.442202562715172
BioGRID	934467	RPA3	ADAR	Affinity Capture-MS	Marechal A (2014)	PUBMED:24332808	P35244	P55265	Homo sapiens	Homo sapiens	P35244	RPA3	Ocbimv22035078m	1129.59773591697	0.0947745825139581	0.184607794435608	0.457335842262496	0.744942877164513
BioGRID	935558	ERG	ADAR	Affinity Capture-MS	Wang S (2014)	PUBMED:24591637	P11308	P55265	Homo sapiens	Homo sapiens	P11308	ERG	NA	NA	NA	NA	NA	NA
BioGRID	941976	STAU2	ADAR	Affinity Capture-MS	Li S (2014)	PUBMED:24778252	Q9NUL3	P55265	Homo sapiens	Homo sapiens	Q9NUL3	STAU2	NA	NA	NA	NA	NA	NA
BioGRID	950360	STAU1	ADAR	Affinity Capture-MS	Milev MP (2012)	PUBMED:23125841	O95793	P55265	Homo sapiens	Homo sapiens	O95793	STAU1	Ocbimv22006450m	6621.18993777237	-0.0782028942017224	0.11267191793971	0.432213758045983	0.727630696218239
BioGRID	1057558	CUL7	ADAR	Affinity Capture-MS	Hanson D (2014)	PUBMED:24711643	Q14999	P55265	Homo sapiens	Homo sapiens	Q14999	CUL7	NA	NA	NA	NA	NA	NA
BioGRID	1058175	OBSL1	ADAR	Affinity Capture-MS	Hanson D (2014)	PUBMED:24711643	O75147	P55265	Homo sapiens	Homo sapiens	O75147	OBSL1	NA	NA	NA	NA	NA	NA
BioGRID	1062791	EZH2	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	Q15910	P55265	Homo sapiens	Homo sapiens	Q15910	EZH2	Ocbimv22018841m	2114.35319539735	0.146636712724992	0.171927673297643	0.254719911092342	0.5767015751659
BioGRID	1062942	SUZ12	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	Q15022	P55265	Homo sapiens	Homo sapiens	Q15022	SUZ12	Ocbimv22037161m	NA	NA	NA	NA	NA
BioGRID	1063501	EED	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	O75530	P55265	Homo sapiens	Homo sapiens	O75530	EED	NA	NA	NA	NA	NA	NA
BioGRID	1063675	RNF2	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	Q99496	P55265	Homo sapiens	Homo sapiens	Q99496	RNF2	NA	NA	NA	NA	NA	NA
BioGRID	1064171	BMI1	ADAR	Affinity Capture-MS	Cao Q (2014)	PUBMED:24457600	P35226	P55265	Homo sapiens	Homo sapiens	P35226	BMI1	Ocbimv22031838m	411.666216499089	-0.0397132466324483	0.178589105066702	0.742760530810021	0.902254677251124
BioGRID	1066118	EGFR	ADAR	Affinity Capture-MS	Tong J (2014)	PUBMED:24797263	P00533	P55265	Homo sapiens	Homo sapiens	P00533	EGFR	NA	NA	NA	NA	NA	NA
BioGRID	1187963	USP38	ADAR	Affinity Capture-MS	Huttlin EL (2015)	PUBMED:26186194	Q8NB14	P55265	Homo sapiens	Homo sapiens	Q8NB14	USP38	Ocbimv22017408m	651.495702657579	-0.550320896182969	0.225690326090475	0.00173628172693757	0.0239338844596959
