Name	Length	EffectiveLength	TPM	NumReads
Ocbimv22000001m	1452	1283.29	0.70987	205.277
Ocbimv22000002m	309	151.809	0.0292325	1
Ocbimv22000003m	3309	3140.29	0.676908	479
Ocbimv22000007m	1500	1331.29	11.177	3353
Ocbimv22000008m	3468	3299.29	5.4529	4054
Ocbimv22000012m	285	131.028	163.316	4822
Ocbimv22000013m	240	94.2825	0	0
Ocbimv22000014m	129	24.4367	0	0
Ocbimv22000015m	171	45.9546	34.0887	353
Ocbimv22000021m	5586	5417.29	1.07231	1309
Ocbimv22000023m	2445	2276.29	0.154015	79
Ocbimv22000024m	783	614.786	0.0866208	12
Ocbimv22000025m	297	141.318	0.0871066	2.77387
Ocbimv22000026m	276	123.441	0.071901	2
Ocbimv22000027m	300	143.931	0	0
Ocbimv22000028m	153	35.5968	51.3756	412.1
Ocbimv22000029m	210	71.8984	0	0
Ocbimv22000030m	201	65.5572	0	0
Ocbimv22000031m	561	393.499	0.330762	29.3289
Ocbimv22000033m	177	49.6676	4.82486	54
Ocbimv22000034m	543	375.62	0	0
Ocbimv22000035m	1161	992.292	0.0950081	21.244
Ocbimv22000036m	750	581.832	0	0
Ocbimv22000038m	390	226.222	0.0196168	1
Ocbimv22000039m	258	108.621	0	0
Ocbimv22000040m	528	360.764	21.8712	1778
Ocbimv22000041m	696	527.956	62.7055	7460
Ocbimv22000042m	393	229.069	120.888	6240
Ocbimv22000043m	474	307.493	15.4135	1068
Ocbimv22000044m	480	313.387	14.8404	1048
Ocbimv22000046m	267	115.987	38.2608	1000
Ocbimv22000047m	348	187.004	239.634	10098
Ocbimv22000048m	2496	2327.29	6.20103	3252
Ocbimv22000052m	1908	1739.29	2.11731	829.838
Ocbimv22000054m	288	133.582	0	0
Ocbimv22000055m	2004	1835.29	0.183769	76
Ocbimv22000056m	603	435.275	0.147966	14.5131
Ocbimv22000057m	1068	899.292	7.79194	1579
Ocbimv22000058m	216	76.1983	0	0
Ocbimv22000059m	525	357.796	0.012403	1
Ocbimv22000060m	1707	1538.29	0.0115395	4
Ocbimv22000061m	231	87.3534	0.304815	6
Ocbimv22000062m	222	80.6109	0.715672	13
Ocbimv22000063m	2604	2435.29	14.8898	8171
Ocbimv22000064m	462	295.73	9.12506	608.088
Ocbimv22000065m	312	154.473	7.82129	272.248
Ocbimv22000066m	207	69.7538	0.508963	8
Ocbimv22000067m	423	257.817	0	0
Ocbimv22000068m	7179	7010.29	260.414	411374
Ocbimv22000069m	462	295.73	467.697	31167
Ocbimv22000070m	153	35.5968	2302.86	18472
Ocbimv22000071m	324	165.176	37.5993	1399.47
Ocbimv22000072m	192	59.4145	7.11223	95.2212
Ocbimv22000073m	951	782.54	0	0
Ocbimv22000074m	873	704.669	0.00668118	1.0609
Ocbimv22000075m	234	89.6551	7.27623	147
Ocbimv22000076m	309	151.809	0	0
Ocbimv22000077m	150	34.0152	1.95696	15
Ocbimv22000078m	216	76.1983	1.28127	22
Ocbimv22000079m	225	82.8275	0	0
Ocbimv22000080m	318	159.806	0.592885	21.3501
Ocbimv22000081m	1704	1535.29	3.22716	1116.47
Ocbimv22000082m	264	113.523	115.006	2942
Ocbimv22000083m	696	527.956	19.7531	2350
Ocbimv22000084m	231	87.3534	61.0646	1202
Ocbimv22000085m	288	133.582	0	0
Ocbimv22000086m	1104	935.292	2.1399	451
Ocbimv22000087m	984	815.488	0.748921	137.622
Ocbimv22000088m	984	815.488	1.01883	187.221
Ocbimv22000089m	294	138.721	27.6398	864
Ocbimv22000090m	534	366.705	14.2921	1181
Ocbimv22000091m	177	49.6676	0.982842	11
Ocbimv22000092m	549	381.576	0.0930407	8
Ocbimv22000093m	537	369.672	1.76467	147
Ocbimv22000094m	654	486.09	2.36455	259
Ocbimv22000095m	429	263.616	3.82137	227
Ocbimv22000096m	540	372.646	13.9214	1169
Ocbimv22000097m	852	683.711	0.655561	101
Ocbimv22000098m	603	435.275	0	0
Ocbimv22000099m	210	71.8984	0	0
Ocbimv22000100m	150	34.0152	5.0881	39
Ocbimv22000101m	414	249.135	48.4329	2719.01
Ocbimv22000102m	798	629.77	0	0
Ocbimv22000103m	438	272.331	0	0
Ocbimv22000104m	1884	1715.29	9.7252	3759
Ocbimv22000105m	651	483.1	1.55468	169.244
Ocbimv22000106m	321	162.488	9.04747	331.272
Ocbimv22000107m	654	486.09	0.0584238	6.39943
Ocbimv22000108m	759	590.82	14.9773	1994
Ocbimv22000109m	183	53.4908	80.7232	973
Ocbimv22000110m	231	87.3534	0.558827	11
Ocbimv22000111m	300	143.931	55.0363	1785
Ocbimv22000112m	252	103.77	4.48908	104.97
Ocbimv22000113m	402	237.631	0	0
Ocbimv22000114m	339	178.749	7.3327	295.355
Ocbimv22000115m	489	322.245	0.0763708	5.54561
Ocbimv22000116m	678	510.005	2.87613	330.536
Ocbimv22000117m	336	176.021	0.566159	22.4564
Ocbimv22000118m	234	89.6551	193.983	3919
Ocbimv22000119m	2553	2384.29	40.8061	21924
Ocbimv22000121m	222	80.6109	0.110103	2
Ocbimv22000122m	264	113.523	0	0
Ocbimv22000123m	1728	1559.29	0.0483822	17
Ocbimv22000124m	786	617.782	0	0
Ocbimv22000125m	150	34.0152	5.74042	44
Ocbimv22000126m	1338	1169.29	0.428864	113
Ocbimv22000127m	156	37.2378	21.4393	179.9
Ocbimv22000128m	183	53.4908	0	0
Ocbimv22000129m	297	141.318	7.72504	246
Ocbimv22000130m	207	69.7538	32.503	510.891
Ocbimv22000131m	219	78.3947	0	0
Ocbimv22000132m	189	57.4065	0.309217	4
Ocbimv22000133m	219	78.3947	0	0
Ocbimv22000134m	234	89.6551	0	0
Ocbimv22000135m	1074	905.292	0	0
Ocbimv22000136m	852	683.711	0.119768	18.4523
Ocbimv22000137m	228	85.0746	86.278	1654
Ocbimv22000138m	1008	839.292	0.814276	154
Ocbimv22000139m	1950	1781.29	4.12811	1657
Ocbimv22000140m	1638	1469.29	2.35285	779
Ocbimv22000141m	2490	2321.29	0.0382014	19.9823
Ocbimv22000142m	258	108.621	0	0
Ocbimv22000143m	930	761.575	67.431	11572
Ocbimv22000144m	897	728.634	6.91275	1135
Ocbimv22000145m	915	746.597	0.992646	167
Ocbimv22000146m	273	120.937	1.4311	39
Ocbimv22000147m	3102	2933.29	0	0
Ocbimv22000148m	198	63.4973	0	0
Ocbimv22000149m	291	136.152	0	0
Ocbimv22000150m	300	143.931	0	0
Ocbimv22000151m	282	128.476	0	0
Ocbimv22000153m	1038	869.292	15.2232	2982
Ocbimv22000154m	924	755.584	6.96573	1186
Ocbimv22000155m	150	34.0152	89.8897	689
Ocbimv22000156m	489	322.245	171.09	12423.6
Ocbimv22000157m	192	59.4145	12.5482	168
Ocbimv22000158m	198	63.4973	0.0939485	1.34425
Ocbimv22000159m	93	17.2888	0.770053	3
Ocbimv22000160m	1554	1385.29	1.23975	387
Ocbimv22000161m	246	98.9974	6.23096	139
Ocbimv22000162m	1113	944.292	10.0148	2131
Ocbimv22000164m	777	608.792	0.0218684	3
Ocbimv22000165m	90	17.2351	3.34728	13
Ocbimv22000166m	165	42.368	1.04743	10
Ocbimv22000167m	219	78.3947	0	0
Ocbimv22000168m	471	304.547	0.174861	12
Ocbimv22000169m	147	32.535	0	0
